PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,,51.63,50.51,,28.17,0.39,60.96,0.0,0.0,36.81,19.23,2.15,148.89,171.7,850.0,65.2,Satisfactory,Ahmedabad
,,0.33,47.7875,46.5625,,29.595,0.51,69.6175,0.0,0.0,36.3375,19.5925,2.2125,201.625,80.7125,850.0,70.2,Satisfactory,Ahmedabad
,,31.2225,143.5725,174.325,,27.04,2.2525,20.68,0.0,0.0,34.8325,23.655,0.4225,118.61,2.905,850.0,163.9,Moderate,Ahmedabad
,,98.3025,200.445,298.7475,,37.7925,4.6075,8.94,0.0,0.0,33.6225,28.2925,0.0775,154.9725,0.25,850.0,221.2,Poor,Ahmedabad
,,49.385,176.925,226.31,,62.95,4.495,6.065,0.0,0.0,33.0725,30.685,0.23,287.8375,0.26,850.0,197.0,Moderate,Ahmedabad
,,57.9625,176.41,234.37,,130.8825,4.365,8.9175,0.0,0.0,32.4725,30.76,0.3575,312.285,0.2775,850.0,196.4,Moderate,Ahmedabad
,,27.445,153.7575,181.2025,,52.83,3.785,4.01,0.0,0.0,32.2375,31.635,0.1625,289.875,0.28,850.0,174.0,Moderate,Ahmedabad
,,6.28,107.6075,113.89,,37.8675,2.5275,10.475,0.0,0.0,32.2775,28.6,1.27,337.25,0.275,850.0,128.3,Moderate,Ahmedabad
,,0.89,81.97,80.7675,,22.8175,1.615,14.505,0.0,0.0,31.5675,25.185,1.7225,337.25,0.315,850.0,103.0,Moderate,Ahmedabad
,,0.89,55.67,54.1875,,12.7675,1.1425,23.09,0.0,0.0,30.9475,23.4425,2.6925,332.77814,0.3225,850.0,70.2,Satisfactory,Ahmedabad
,,0.8290625,35.61,33.9575,,5.5575,0.5325,29.395,0.0,0.0,30.0325,25.0925,3.4975,325.62314,0.3275,850.0,44.5,Good,Ahmedabad
,,0.7315625,31.305,29.7075,,6.5325,0.3125,29.51,0.0,0.0,29.2625,28.6275,4.0475,318.46814,0.3425,850.0,39.1,Good,Ahmedabad
,,0.6340625,40.41,38.935,,5.06,0.385,23.665,0.0,0.0,28.5775,34.22,3.755,311.3131,0.3525,850.0,51.5,Satisfactory,Ahmedabad
,,0.5365625,40.975,39.845,,11.615,0.2975,23.595,0.0,0.0,27.9625,34.665,2.985,331.0,0.35,850.0,52.2,Satisfactory,Ahmedabad
,,2.545,68.47,71.015,,61.3475,0.2825,13.36,0.0,0.0,27.4775,33.4075,2.62,286.2525,9.8775,850.0,85.9,Satisfactory,Ahmedabad
,,7.93,74.7325,82.66,,48.9175,0.5575,13.12,0.0,0.0,27.64,33.3225,2.88,150.88,83.73,850.0,93.5,Satisfactory,Ahmedabad
,,4.065,73.5225,77.5825,,31.92,0.72,19.675,0.0,0.0,28.845,35.45,2.615,101.295,277.565,850.0,92.1,Satisfactory,Ahmedabad
,,2.2375,77.07,79.3075,,124.4225,0.715,31.8,0.0,0.0,31.55,29.355,2.4,175.5525,449.5425,850.0,115.7,Moderate,Ahmedabad
,,2.32,73.555,75.875,,77.8275,0.55,39.21,0.0,0.0,33.775,22.7675,3.31,198.59,591.855,850.0,97.3,Satisfactory,Ahmedabad
,,0.16,53.41,52.94,,49.8925,0.565,59.085,0.0,0.0,35.14,20.6975,3.7625,306.635,679.88,850.0,67.4,Satisfactory,Ahmedabad
,,0.0625,40.995,39.945,,40.1025,0.385,63.18,0.0,0.0,36.305,17.73,5.36,289.0,689.58,850.0,63.9,Satisfactory,Ahmedabad
,,0.02,39.9025,39.085,,32.5825,0.155,56.82,0.0,0.0,37.3075,14.7025,5.115,294.355,326.01,850.0,57.7,Satisfactory,Ahmedabad
,,0.020036586,40.19,39.44,,35.95,0.22,59.21,0.0,0.0,37.59,13.1,4.66,319.91,113.14,850.0,60.0,Satisfactory,Ahmedabad
,,0.020219512,40.19,39.44,,35.95,0.22,59.21,0.0,0.0,37.59,13.1,4.66,319.91,113.14,850.0,60.0,Satisfactory,Ahmedabad
,,0.020414634,40.19796,39.452015,,36.05217,0.21923469,58.97084,0.0,0.0,37.55541,13.230944,4.647066,319.51044,113.297195,850.0,59.8,Satisfactory,Ahmedabad
,,0.020609757,40.219185,39.484055,,36.324615,0.21719387,58.333088,0.0,0.0,37.46316,13.580128,4.6125765,318.44492,113.71638,850.0,59.2,Satisfactory,Ahmedabad
,,0.020804878,40.24041,39.516098,,36.597065,0.21515307,57.69533,0.0,0.0,37.37092,13.929311,4.578087,317.37943,114.13556,850.0,58.5,Satisfactory,Ahmedabad
,,0.021,40.26163,39.548138,,36.869514,0.21311225,57.057575,0.0,0.0,37.278675,14.278495,4.5435967,316.3139,114.55475,850.0,57.9,Satisfactory,Ahmedabad
