PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
13.5,24.5,4.9,9.3,8.95,23.65,9.8,0.54,16.27,,0.9,,69.0,1.45,267.5,15.0,,27.0,Good,Chennai
22.0,28.25,2.9,7.475,6.275,22.4,9.575,0.4425,16.17,,0.5,,69.0,2.2,179.5,15.75,,36.7,Good,Chennai
14.75,21.0,2.475,6.625,5.55,15.225,5.575,0.4725,16.265,,0.1,,71.75,0.75,233.0,15.25,,24.6,Good,Chennai
16.5,31.0,1.625,10.775,7.025,7.95,3.925,0.575,8.3775,,0.325,,72.75,0.675,255.5,15.0,,31.0,Good,Chennai
31.75,50.5,1.7,10.675,7.025,7.175,4.65,0.61,14.8475,,0.2,,73.25,0.65,275.5,15.0,,53.9,Satisfactory,Chennai
32.75,50.25,1.825,10.775,7.225,8.1,4.75,0.5925,14.2625,,0.1,,73.0,0.525,276.75,15.0,,55.5,Satisfactory,Chennai
48.0,65.0,1.075,12.7,7.625,18.4,6.425,0.625,25.0375,,0.275,,71.75,0.45,281.5,15.75,,80.4,Satisfactory,Chennai
53.75,78.0,3.35,13.475,9.9,31.625,8.3,0.48,51.01,,0.5,,70.0,0.65,290.0,15.5,,89.8,Satisfactory,Chennai
58.75,88.0,3.2,12.5,9.25,23.75,6.5,0.5275,16.9075,,0.35,,69.0,0.725,298.0,40.25,,98.0,Satisfactory,Chennai
49.0,60.25,2.975,11.125,8.35,20.75,5.725,0.59,17.3975,,0.35,,69.75,1.625,270.5,114.75,,82.0,Satisfactory,Chennai
52.75,82.0,2.6,7.975,6.4,15.575,5.175,0.5625,20.68,,0.1,,70.75,2.625,229.5,254.5,,88.2,Satisfactory,Chennai
68.25,102.0,1.575,7.3,5.15,8.25,4.525,0.695,15.975,,0.1,,72.25,3.3,227.75,317.25,,128.2,Moderate,Chennai
75.75,107.5,1.475,7.225,5.0,7.525,4.2,0.735,21.265,,0.175,,72.0,3.675,235.5,455.25,,153.0,Moderate,Chennai
61.0,107.0,1.125,7.075,4.65,7.225,4.05,0.73,27.2425,,0.225,,72.5,3.4,233.25,450.5,,105.6,Moderate,Chennai
62.25,112.5,0.575,7.1,3.85,15.65,4.775,0.7075,29.645,,0.2,,71.0,3.5,225.25,484.0,,109.2,Moderate,Chennai
54.75,114.75,2.325,7.6,5.975,29.425,5.825,0.49,64.385,,0.2,,67.75,3.6,228.25,393.25,,110.7,Moderate,Chennai
49.75,98.25,1.775,6.8,5.025,23.1,4.775,0.485,25.9225,,0.2,,68.75,3.375,229.0,275.0,,98.3,Satisfactory,Chennai
55.75,97.25,1.55,7.0,5.0,19.275,4.675,0.465,25.6275,,0.2,,68.25,3.125,224.75,138.5,,97.3,Satisfactory,Chennai
60.5,98.0,2.15,7.1,5.525,14.475,4.725,0.475,23.52,,0.2,,70.0,3.3,234.75,72.25,,102.6,Moderate,Chennai
66.5,96.25,1.375,7.225,4.9,7.275,3.975,0.585,10.29,,0.2,,71.75,2.85,236.0,19.25,,122.4,Moderate,Chennai
58.5,110.75,1.025,6.85,4.45,6.475,4.0,0.6325,26.3625,,0.575,,71.75,2.9,241.5,14.0,,108.1,Moderate,Chennai
47.5,88.0,1.05,6.5,4.325,6.45,4.125,0.615,28.1275,,0.675,,71.5,2.95,240.25,14.0,,88.2,Satisfactory,Chennai
