PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,51.25,137.25,114.75,308.0,4.5,,,,,,,,,,,157.7,Moderate,Delhi NCR
,,66.5,158.75,138.75,292.5,3.825,,,,,,,,,,,179.0,Moderate,Delhi NCR
,,62.75,159.75,136.0,295.0,3.975,,,,,,,,,,,180.0,Moderate,Delhi NCR
,,72.5,166.5,147.25,286.5,4.95,,,,,,,,,,,186.6,Moderate,Delhi NCR
,,55.5,133.5,116.0,294.75,5.175,,,,,,,,,,,154.0,Moderate,Delhi NCR
,,74.5,167.25,149.25,279.5,4.325,,,,,,,,,,,187.4,Moderate,Delhi NCR
,,69.25,153.75,138.0,287.5,4.3,,,,,,,,,,,174.0,Moderate,Delhi NCR
,,81.0,170.75,156.75,272.75,4.3,,,,,,,,,,,190.8,Moderate,Delhi NCR
,,101.25,203.25,190.5,251.0,4.5,,,,,,,,,,,224.0,Poor,Delhi NCR
,,69.25,145.5,134.0,298.75,3.475,,,,,,,,,,,165.8,Moderate,Delhi NCR
,,59.0,129.0,116.75,313.75,3.075,,,,,,,,,,,149.5,Moderate,Delhi NCR
,,41.75,99.0,86.5,338.25,3.625,18.0,,,,,,,,,,306.8,Very Poor,Delhi NCR
,,28.0,75.75,63.5,348.0,2.85,18.0,,,,,,,,,,306.8,Very Poor,Delhi NCR
,,29.25,78.5,65.5,348.0,4.75,18.0,,,,,,,,,,306.8,Very Poor,Delhi NCR
,,41.0,101.75,87.25,335.25,4.35,22.125,,,,,,,,,,330.8,Very Poor,Delhi NCR
,,43.5,110.0,94.0,333.0,4.45,21.0,,,,,,,,,,324.3,Very Poor,Delhi NCR
,,48.0,120.5,103.0,325.0,4.275,20.961538,,,,,,,,,,324.1,Very Poor,Delhi NCR
,,46.0,110.5,96.5,328.25,4.65,20.461538,,,,,,,,,,321.2,Very Poor,Delhi NCR
,,37.25,105.25,86.0,337.75,4.375,19.846153,,,,,,,,,,317.6,Very Poor,Delhi NCR
,,33.75,101.75,81.5,340.0,4.825,19.23077,,,,,,,,,,314.0,Very Poor,Delhi NCR
,,30.75,95.5,75.75,344.5,5.0,19.0,,,,,,,,,,312.6,Very Poor,Delhi NCR
,,30.0,100.25,77.5,342.5,4.65,33.25,,,,,,,,,,395.6,Very Poor,Delhi NCR
,,34.5,107.5,85.0,333.25,4.975,38.0,,,,,,,,,,425.8,Severe,Delhi NCR
,,35.0,115.5,90.0,326.75,4.6,38.01969,,,,,,,,,,425.9,Severe,Delhi NCR
