PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
30.23,109.69,10.82,19.295,30.11,25.165,4.61,1.62,52.27,1.38,18.52,,27.1,0.425,293.65,51.3,,107.4,Moderate,GandhiNagar
30.6425,110.5,11.345,23.565,34.91,22.9575,3.8875,1.83,20.1725,1.4475,18.5875,,29.95,0.285,45.8475,4.9,,107.9,Moderate,GandhiNagar
30.78,110.77,11.38,24.13,35.51,22.67,3.97,1.87,15.13,1.47,18.59,,30.49,0.32,52.42,2.5,,108.1,Moderate,GandhiNagar
30.896357,110.77615,11.3738165,24.177664,35.55148,22.649765,3.9892857,1.8698163,15.220826,1.4699694,18.588837,,30.533255,0.32404083,52.573627,3.0957143,,108.1,Moderate,GandhiNagar
31.478144,110.806915,11.342898,24.41598,35.758877,22.548592,4.0857143,1.8688979,15.674959,1.4698163,18.583021,,30.74953,0.3442449,53.341774,6.0742855,,108.1,Moderate,GandhiNagar
32.098713,110.83974,11.309918,24.670183,35.980103,22.440674,4.1885715,1.8679184,16.159367,1.469653,18.576817,,30.980225,0.3657959,54.16113,9.251429,,108.2,Moderate,GandhiNagar
32.719284,110.87255,11.276938,24.924387,36.20133,22.332756,4.2914286,1.8669388,16.643776,1.4694898,18.570612,,31.210918,0.38734695,54.980484,12.428572,,108.2,Moderate,GandhiNagar
33.33986,110.905365,11.243959,25.178593,36.42255,22.224836,4.3942857,1.8659592,17.128183,1.4693265,18.564407,,31.441612,0.40889797,55.79984,15.605714,,108.2,Moderate,GandhiNagar
33.96043,110.93819,11.210979,25.432796,36.643776,22.116919,4.497143,1.8649796,17.612593,1.4691633,18.558205,,31.672306,0.43044898,56.619194,18.782858,,108.2,Moderate,GandhiNagar
34.425858,110.9628,11.186245,25.62345,36.809692,22.03598,4.5742855,1.8642449,17.975899,1.4690409,18.55355,,31.845327,0.44661224,57.23371,21.165714,,108.2,Moderate,GandhiNagar
68.79,112.78,9.12,38.72,47.84,16.69,9.945,1.8,44.935,1.43,18.515,,43.815,1.735,,233.45,,130.0,Moderate,GandhiNagar
70.27,113.5825,8.7625,36.6525,45.415,17.93,9.5625,1.805,45.7525,1.43,18.5975,,45.8225,1.79,103.566666,288.875,,134.9,Moderate,GandhiNagar
68.77,114.415,8.775,36.325,45.0975,17.9225,8.4275,1.785,50.71,1.405,18.5325,,48.9,1.88,108.84,368.55,,129.9,Moderate,GandhiNagar
66.5625,114.7075,9.7725,38.3675,48.1375,16.465,7.825,1.7725,53.0675,1.395,18.7875,,49.8125,1.51,121.0525,431.1,,122.7,Moderate,GandhiNagar
64.805,121.5375,13.605,45.7075,59.315,11.06,8.81,1.8,60.22,1.4175,18.6275,,36.0875,1.1925,120.9775,427.25,,116.9,Moderate,GandhiNagar
