PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,1.07,7.67,8.735,,0.6575,0.2575,0.01,0.195,1.445,,84.9,1.875,54.555,4.74,710.12,12.9,Good,Hyderabad
,,0.49,5.975,6.465,,0.6825,0.2075,0.01,0.1425,1.05,,84.625,1.8025,49.375,9.6275,709.735,10.4,Good,Hyderabad
,,0.4525,5.0475,5.28,,0.58,0.18,0.025,0.13,0.86,,84.785,2.1425,49.835,12.165,709.5,9.0,Good,Hyderabad
,,0.365,3.755,3.9125,,0.475,0.1775,0.04,0.12,0.7975,,84.705,1.645,44.56,16.205,709.5575,8.9,Good,Hyderabad
,,0.285,5.0725,5.3575,,0.5325,0.17,0.01,0.1375,0.78,,85.4,1.325,44.125,18.3975,709.8925,8.5,Good,Hyderabad
,,0.62,6.9975,7.62,,0.4325,0.1725,0.01,0.165,0.765,,85.375,1.335,72.8225,18.4575,710.3775,8.7,Good,Hyderabad
,,1.0025,8.2,9.2,,0.4325,0.31,0.01,0.2,1.1275,,85.8075,0.9725,61.215,27.9325,711.055,15.5,Good,Hyderabad
,,3.115,11.1375,14.255,,0.4125,0.43,0.01,0.6275,2.0425,,84.71,1.1025,39.345,96.8325,711.6475,21.5,Good,Hyderabad
,,3.01,9.035,12.045,,0.63,0.42,0.01,0.505,5.21,,79.4325,1.2325,61.115,214.1825,712.1025,21.0,Good,Hyderabad
,,188.2575,23.7475,212.005,,2.7275,0.4575,0.01,0.4725,4.27,,73.1575,1.36,27.4575,355.46,712.715,29.7,Good,Hyderabad
,,2.935,8.43,11.37,,0.41,0.3925,0.01,0.57,3.4,,68.925,1.3125,58.99,530.8275,712.88,19.6,Good,Hyderabad
,,373.8525,32.91,406.7625,,5.47,0.5075,0.01,0.6375,3.5225,,64.88,1.615,65.0475,640.35,712.58,41.1,Good,Hyderabad
,,296.4325,18.19,314.6225,,5.6,0.44,0.01,0.79,3.7325,,60.0925,1.2275,112.1775,745.34,712.1425,22.7,Good,Hyderabad
