PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
127.0,196.0,10.55,57.45,39.125,27.325,10.0,1.345,28.325,,,16.5,81.5,1.1,81.0,61.0,704.25,306.3,Very Poor,Indore
140.5,202.5,6.95,47.7,31.025,27.95,8.675,1.1425,33.25,,,16.0,82.75,0.975,81.0,62.0,704.0,316.6,Very Poor,Indore
132.75,189.75,5.7,36.45,24.025,27.925,7.675,1.0225,35.7,,,15.55,83.75,0.775,92.0,60.75,703.75,310.7,Very Poor,Indore
122.25,172.75,5.65,31.625,21.4,27.65,7.075,0.965,38.65,,,15.575,84.0,1.175,85.75,63.5,703.0,302.7,Very Poor,Indore
118.75,166.75,5.475,24.15,17.3,27.45,8.5,0.8625,45.825,,,15.85,81.75,1.25,101.0,63.75,703.0,295.9,Poor,Indore
115.5,161.75,5.025,25.95,17.925,27.425,7.625,0.8875,45.15,,,15.55,83.0,1.075,92.5,63.0,703.5,285.2,Poor,Indore
119.25,169.75,4.725,29.45,19.525,27.6,8.375,0.97,45.775,,,15.625,82.5,0.95,107.0,63.0,704.0,297.5,Poor,Indore
128.25,186.0,5.0,40.55,25.625,27.85,9.825,1.03,37.225,,,15.975,81.25,1.0,119.25,78.75,704.75,307.3,Very Poor,Indore
137.5,213.0,8.4,53.375,35.2,24.975,13.025,1.005,19.6,,,18.325,72.75,1.0,120.25,318.0,705.5,314.3,Very Poor,Indore
139.5,214.25,5.475,42.225,26.9,25.0,20.95,0.96,21.9,,,21.475,62.25,1.425,114.5,491.0,706.0,315.8,Very Poor,Indore
115.0,185.5,2.2,32.075,18.85,23.225,28.225,0.77,47.7,,,23.85,53.5,2.0,126.25,517.5,706.0,283.5,Poor,Indore
88.75,165.0,1.05,24.125,13.7,20.9,29.2,0.5375,51.675,,,25.1,49.25,2.65,139.25,527.5,705.25,195.9,Moderate,Indore
82.75,149.5,1.2,21.075,12.2,19.25,28.3,0.5875,56.7,,,25.825,48.0,2.45,131.75,526.75,704.25,176.1,Moderate,Indore
81.75,135.0,2.425,21.625,13.45,17.975,26.5,0.61,60.275,,,26.725,46.0,2.225,132.0,515.0,703.25,172.8,Moderate,Indore
74.75,123.0,2.225,22.85,13.975,17.3,23.65,0.6725,57.175,,,27.225,46.25,2.025,130.25,493.75,702.5,149.7,Moderate,Indore
82.0,124.5,2.675,28.95,17.6,17.225,23.65,0.755,53.275,,,26.75,47.5,2.375,115.25,439.75,702.0,173.6,Moderate,Indore
79.75,130.75,2.45,32.775,19.4,17.175,22.7,0.795,51.05,,,26.3,48.25,1.9,121.5,271.5,702.0,166.2,Moderate,Indore
83.75,144.25,3.975,58.175,34.2,16.35,23.425,1.31,41.625,,,25.025,52.5,1.25,122.0,71.25,702.0,179.4,Moderate,Indore
94.25,178.25,9.6,91.1,56.25,19.65,36.95,1.935,34.325,,,23.625,57.0,1.125,108.25,63.25,702.75,215.0,Poor,Indore
110.75,200.5,10.5,85.775,54.15,20.65,31.925,1.7725,34.9,,,22.825,59.0,1.2,106.0,61.25,703.0,269.5,Poor,Indore
112.75,183.0,7.85,74.15,45.825,20.45,23.075,1.5375,38.65,,,22.0,61.75,1.15,105.25,61.75,703.5,276.1,Poor,Indore
112.0,179.75,7.3,79.3,48.1,19.675,20.625,1.53,37.1,,,21.6,62.0,0.95,127.25,59.5,704.0,273.6,Poor,Indore
111.0,177.0,4.6,51.875,31.325,20.425,23.875,1.0575,60.275,,,21.6,59.25,1.25,139.75,62.75,704.0,270.3,Poor,Indore
105.5,166.5,4.0,40.475,24.775,18.75,23.375,0.8525,65.325,,,21.3,59.75,1.1,132.5,63.0,703.0,252.2,Poor,Indore
99.0,153.0,3.775,30.025,19.05,19.575,23.175,0.7625,63.8,,,21.0,64.5,1.275,124.0,60.75,703.0,230.7,Poor,Indore
102.5,154.0,3.875,25.45,16.675,20.2,20.1,0.7475,60.175,,,20.475,69.0,1.05,134.0,60.5,703.0,242.2,Poor,Indore
104.25,156.5,3.725,21.85,14.65,20.45,19.5,0.705,61.45,,,20.375,70.5,1.5,130.0,61.25,702.25,248.0,Poor,Indore
102.75,149.5,3.375,19.3,12.975,20.3,24.95,0.65,68.0,,,20.575,68.5,1.55,132.5,59.75,702.0,243.1,Poor,Indore
96.25,132.75,3.775,20.0,13.7,20.05,24.325,0.73,66.625,,,20.225,69.0,1.4,143.0,60.25,702.25,221.6,Poor,Indore
97.25,133.0,3.8,22.125,14.85,19.325,20.85,0.7775,62.8,,,19.775,70.0,1.375,131.25,63.25,703.0,224.9,Poor,Indore
97.75,137.75,3.8,24.3,16.0,19.275,20.05,0.7925,61.525,,,19.725,70.0,1.575,127.5,60.25,703.25,226.6,Poor,Indore
98.25,146.25,3.725,24.55,16.075,19.3,21.5,0.8325,60.375,,,19.9,69.5,1.8,129.0,71.75,704.0,228.2,Poor,Indore
99.5,157.0,1.825,24.325,14.425,17.425,26.15,0.635,44.6,,,21.1,65.75,1.875,129.0,287.75,705.0,232.4,Poor,Indore
91.25,157.5,1.95,21.975,13.275,16.9,35.175,0.61,47.525,,,23.0,60.0,2.275,136.75,478.25,705.5,205.1,Poor,Indore
88.5,148.5,2.575,21.45,13.475,16.475,36.2,0.61,52.625,,,24.725,55.25,2.725,130.25,509.75,705.0,195.0,Moderate,Indore
86.0,141.75,2.275,21.075,13.05,16.225,30.475,0.6125,58.175,,,26.15,51.5,2.35,133.75,520.75,705.0,186.8,Moderate,Indore
83.0,136.0,2.525,21.625,13.55,15.7,25.8,0.65,59.5,,,27.525,48.75,2.175,151.25,512.25,703.75,176.9,Moderate,Indore
83.25,140.25,2.425,22.0,13.675,15.1,21.8,0.755,56.9,,,28.275,48.25,1.625,171.0,503.25,703.0,177.7,Moderate,Indore
83.25,144.5,1.925,21.625,13.025,15.925,21.325,0.7325,56.35,,,28.5,49.0,1.5,175.25,484.75,702.0,177.7,Moderate,Indore
81.5,143.0,1.8,20.5,12.35,16.525,18.575,0.71,60.15,,,28.05,51.25,1.375,163.25,387.25,702.0,172.0,Moderate,Indore
83.5,136.75,1.7,22.95,13.6,16.925,16.25,0.7525,58.1,,,27.8,53.25,1.45,146.75,280.25,702.0,178.6,Moderate,Indore
87.0,149.0,2.5,32.425,19.3,17.9,15.525,1.095,57.45,,,26.75,57.25,1.275,133.0,70.0,702.0,190.1,Moderate,Indore
97.25,175.25,8.225,84.825,51.8,19.55,15.5,2.1975,34.675,,,25.475,61.0,1.1,114.5,63.25,702.0,224.9,Poor,Indore
111.5,224.5,16.575,102.875,68.15,20.4,16.125,2.7125,20.05,,,24.55,63.5,0.725,106.5,62.0,703.0,272.0,Poor,Indore
120.75,255.0,28.8,107.2,80.4,21.4,16.45,2.9175,17.85,,,23.675,66.75,0.55,125.25,61.75,703.0,301.6,Very Poor,Indore
130.25,263.5,7.3,81.6,49.35,20.15,14.125,1.7575,33.075,,,23.175,68.5,0.825,136.5,63.75,703.0,308.8,Very Poor,Indore
114.75,188.25,5.225,66.425,39.625,21.65,12.175,1.425,42.125,,,22.525,71.5,0.875,134.5,61.5,703.0,282.7,Poor,Indore
107.5,176.25,4.5,36.75,23.2,21.65,15.1,0.895,61.575,,,22.525,72.75,1.55,133.25,62.5,703.0,258.8,Poor,Indore
97.5,153.0,3.65,25.125,16.325,22.4,18.2,0.8125,64.05,,,22.225,74.25,1.15,144.25,62.25,702.25,225.8,Poor,Indore
99.75,143.0,4.075,22.525,15.3,21.9,17.25,0.7925,64.825,,,22.05,75.25,1.5,131.5,61.5,702.0,233.2,Poor,Indore
103.25,139.75,3.9,20.575,14.125,21.875,15.225,0.785,59.5,,,21.225,77.75,0.725,145.0,60.25,702.0,244.7,Poor,Indore
105.75,145.75,3.7,25.45,16.55,22.425,14.05,0.835,52.95,,,20.725,78.5,0.7,160.75,61.75,701.75,253.0,Poor,Indore
103.5,162.0,3.775,28.625,18.3,22.2,13.35,0.8375,49.275,,,20.2,79.25,0.55,136.5,62.0,701.0,245.6,Poor,Indore
106.0,150.5,4.0,27.075,17.65,21.85,18.05,0.8275,58.3,,,20.65,74.25,1.075,155.75,63.0,701.0,253.8,Poor,Indore
102.25,154.75,4.275,31.925,20.5,20.8,18.65,0.9375,57.775,,,20.375,74.5,0.725,132.75,63.0,702.0,241.4,Poor,Indore
112.0,172.0,4.05,39.05,24.05,21.8,18.75,1.1525,50.875,,,20.075,76.0,0.5,118.5,64.5,702.25,273.6,Poor,Indore
122.5,197.75,4.725,38.95,24.575,23.2,27.8,0.92,59.2,,,21.475,71.5,1.75,126.0,282.75,703.0,302.9,Very Poor,Indore
122.75,188.25,4.375,25.675,17.2,21.65,37.625,0.7225,61.4,,,22.8,66.0,2.3,130.0,384.25,703.75,303.1,Very Poor,Indore
108.25,168.25,4.225,23.05,15.675,20.875,41.225,0.5875,56.05,,,24.7,60.25,2.225,137.5,485.0,703.5,261.2,Poor,Indore
101.0,159.25,4.35,21.775,15.125,19.575,35.65,0.5625,59.25,,,26.4,54.75,1.9,154.75,517.5,703.0,237.3,Poor,Indore
93.75,151.75,4.275,22.175,15.25,18.6,28.775,0.63,60.5,,,26.125,55.25,1.75,147.5,459.75,702.0,213.4,Poor,Indore
91.75,135.75,4.075,22.625,15.35,18.5,29.725,0.6625,61.05,,,26.85,54.5,1.4,164.5,482.5,701.0,206.8,Poor,Indore
95.75,136.0,4.025,22.3,15.1,18.6,33.4,0.64,62.3,,,28.05,51.5,1.575,149.5,487.0,700.0,220.0,Poor,Indore
91.75,136.75,4.225,21.825,15.05,18.1,29.75,0.6125,79.825,,,27.65,52.75,1.175,158.5,401.75,700.0,206.8,Poor,Indore
90.25,132.0,3.975,24.625,16.325,18.35,21.325,0.6625,78.275,,,27.625,52.5,1.275,132.75,273.0,700.0,201.8,Poor,Indore
88.25,142.25,3.85,29.4,18.75,17.625,17.825,0.8075,68.375,,,26.625,56.5,0.8,140.25,76.25,700.0,194.2,Moderate,Indore
96.25,175.0,19.625,93.95,65.85,18.55,17.125,2.3425,27.925,,,25.425,61.0,0.325,130.75,60.75,701.0,221.6,Poor,Indore
126.25,248.75,65.85,107.625,110.8,22.275,20.725,4.4375,14.65,,,24.175,68.75,0.3,66.0,63.75,701.0,305.8,Very Poor,Indore
145.75,271.25,18.025,94.65,64.975,21.45,15.525,1.935,25.025,,,23.6,68.25,0.5,123.0,61.25,701.75,320.6,Very Poor,Indore
129.75,213.75,11.775,85.4,54.975,19.675,12.75,1.93,23.75,,,22.925,70.75,0.325,120.75,62.5,702.0,308.4,Very Poor,Indore
