PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
134.27,188.08,2.6075,53.426666,30.0,31.056667,10.503333,1.0833334,45.06333,1.0566666,1.93,,52.523335,0.64,60.013332,20.766666,734.2767,311.9,Very Poor,Jaipur
134.27,188.08,2.48,44.0275,25.035,25.42,7.2325,0.8875,52.995,1.1,2.0875,,53.51,0.9875,64.895,20.375,733.9525,311.9,Very Poor,Jaipur
99.96,140.525,1.8175,42.54,23.6575,23.74,7.9675,0.925,50.9,1.0525,1.9025,,54.835,1.1175,48.1425,19.325,733.615,233.9,Poor,Jaipur
59.98,132.13,1.78,37.96,21.26,21.1,6.11,0.9,50.59,0.99,2.02,,56.94,1.07,48.55,19.6,733.59,122.2,Moderate,Jaipur
59.98,132.13,1.78,37.96,21.26,21.1,6.11,0.9,50.59,0.99,2.02,,56.94,1.07,48.55,19.6,733.59,122.2,Moderate,Jaipur
56.232143,135.45357,2.2017648,43.430714,24.752857,24.775,6.6103573,0.95357144,49.085712,1.0489286,1.9942857,,55.89,1.1085714,48.973213,29.382143,733.7818,124.4,Moderate,Jaipur
46.237858,144.31642,3.3264706,58.019287,34.067142,34.575,7.944643,1.0964285,45.074287,1.2060714,1.9257143,,53.09,1.2114285,50.101788,55.467857,734.2932,130.2,Moderate,Jaipur
36.243572,153.17929,4.4511766,72.60786,43.381428,44.375,9.278929,1.2392857,41.06286,1.3632143,1.8571428,,50.29,1.3142858,51.23036,81.55357,734.8046,136.1,Moderate,Jaipur
26.873928,161.48822,5.5758824,87.91964,53.21857,54.9475,10.349821,1.3832142,37.06964,1.5705357,1.7953571,,46.82,1.4757143,52.658394,114.70893,735.3166,141.6,Moderate,Jaipur
192.7,207.875,6.899706,86.79,51.14,54.4,8.1375,1.3975,43.025,2.2325,2.4,,41.52,1.81,49.5075,207.675,735.73,356.4,Very Poor,Jaipur
109.62,169.0575,6.05,77.805,45.89,47.8775,10.6025,1.155,48.0575,2.2,1.8175,,32.085,1.72,60.7675,346.075,735.5925,265.7,Poor,Jaipur
109.62,168.95,5.58,71.45,42.2775,42.5775,16.29,1.25,51.1925,1.435,1.55,,27.5025,1.5925,68.4,422.475,735.135,265.7,Poor,Jaipur
109.62,168.95,3.8425,58.9575,33.885,34.2025,9.0325,0.75,58.14,0.91,2.075,,26.2175,1.2925,73.0625,455.95,734.415,265.7,Poor,Jaipur
109.62,153.22778,3.7375,59.5025,34.0875,33.4075,1.0625,0.4475,58.7025,0.895,2.0775,,26.71,1.5625,63.78,392.9,733.59,265.7,Poor,Jaipur
109.62,128.07222,3.6625,64.005,36.285,35.655,7.865,0.35,57.595,1.01,2.135,,28.695,1.77,56.07,365.2,733.025,265.7,Poor,Jaipur
69.535,112.42,4.255,70.8375,40.42,39.3825,9.845,0.4125,55.5875,0.885,1.9175,,30.375,1.575,61.57,204.825,732.445,132.5,Moderate,Jaipur
55.87,116.53,4.1825,76.85,43.505,43.6625,10.495,0.59,49.4075,1.0175,2.0075,,31.755,1.34,61.155,97.575,732.22,111.9,Moderate,Jaipur
62.57,131.9275,6.8425,95.0875,55.165,56.375,13.765,1.0525,40.8275,1.435,2.0975,,33.4825,1.2375,63.1425,30.15,732.2075,122.1,Moderate,Jaipur
