PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
99.275,102.5,9.8725,10.5925,13.695,,7.5725,0.1675,19.4075,3.4575,3.8325,,31.045,0.8925,85.8925,11.655,723.55,231.6,Poor,Jodhpur
84.495,127.05,10.305,8.245,12.7825,,7.0825,0.285,19.065,3.5425,3.7075,,30.8375,0.865,92.7175,11.715,723.825,181.8,Moderate,Jodhpur
73.0825,127.7,5.37,9.82,7.6075,,9.105,0.885,19.13,3.445,3.675,,31.4575,0.675,97.1625,12.1525,724.025,144.2,Moderate,Jodhpur
79.49,144.775,6.215,12.005,11.41,,6.7275,1.2575,25.0,3.7225,3.7675,,31.6375,0.6,91.495,12.5375,724.4,165.3,Moderate,Jodhpur
65.005,132.45,7.465,20.2975,16.845,,6.285,0.2475,16.0775,3.4,3.8525,,33.0575,0.6975,84.025,12.475,724.5,122.4,Moderate,Jodhpur
68.32,147.05,7.97,24.5925,19.4825,,7.7575,0.3425,7.7775,3.4625,3.79,,33.9675,0.76,76.455,12.4975,724.325,132.1,Moderate,Jodhpur
64.7225,160.475,8.425,21.88,18.4425,,8.6575,0.6075,10.42,3.4425,3.755,,34.7075,0.81,88.0925,12.305,724.05,140.9,Moderate,Jodhpur
81.0625,168.275,7.2775,19.0725,16.02,,7.1325,0.825,11.9975,3.425,3.8825,,35.1325,0.8125,94.5375,18.705,723.7,170.5,Moderate,Jodhpur
106.2425,178.625,9.545,20.1425,18.43,,8.4725,0.3375,9.665,3.42,3.9225,,34.7175,0.7675,93.0975,61.975,723.1,254.6,Poor,Jodhpur
101.8625,150.875,10.5225,23.7225,21.09,,12.795,0.335,13.3,3.5025,3.715,,33.0625,0.755,91.845,170.6075,722.65,240.1,Poor,Jodhpur
95.3575,135.35,5.15,24.3225,15.4125,,15.15,1.0775,22.235,3.4475,3.7275,,30.9625,0.7025,92.4675,263.6125,722.6,218.7,Poor,Jodhpur
89.1925,154.75,7.7725,27.1375,20.6375,,8.855,1.535,20.14,3.4725,3.6475,,29.0175,0.6625,95.4225,333.3325,723.275,197.3,Moderate,Jodhpur
89.5925,155.1,8.385,28.475,21.8575,,9.6175,0.915,25.91,3.52,3.7575,,28.1525,0.6475,111.4775,370.285,724.175,198.7,Moderate,Jodhpur
