PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
14.0,71.0,9.263333,7.83,17.093334,8.53,0.5133333,0.41,33.93667,0.40666667,,32.546665,67.10333,1.0075,202.4525,290.45,850.0,71.6,Satisfactory,Mumbai
14.9425,90.95,9.665,7.8475,17.5075,7.9225,1.0025,0.415,9.6925,0.4625,,33.1675,64.8,0.9625,201.0375,339.3275,850.0,91.1,Satisfactory,Mumbai
15.94,84.3775,10.01,7.88,17.8825,8.0125,1.3225,0.435,8.365,0.5375,,32.225,67.2525,0.915,219.2075,195.18,850.0,84.7,Satisfactory,Mumbai
20.695,85.9,7.8725,9.0675,16.95,10.2125,1.555,0.4425,6.2525,0.6675,,30.8575,70.75,0.7925,211.895,31.4725,850.0,86.2,Satisfactory,Mumbai
6.9175,49.9,17.7725,13.6725,31.445,11.8575,1.64,0.4675,4.4975,0.74,,29.5325,75.485,0.67,211.6725,4.94,850.0,49.9,Good,Mumbai
9.0,50.25,11.805,9.4275,21.2325,10.8575,1.4075,0.4675,5.45,0.7525,,29.25,78.3225,0.605,187.59,4.94,850.0,51.2,Satisfactory,Mumbai
6.245,36.75,9.385,8.3975,17.78,9.7275,1.465,0.455,6.3325,0.76,,29.0825,79.2225,0.615,189.9,4.640658,850.0,36.8,Good,Mumbai
5.25,35.25,7.79,7.8675,15.6675,9.7525,1.415,0.48,6.4475,0.7575,,29.0325,78.9825,0.5725,191.73,4.1617107,850.0,35.2,Good,Mumbai
8.755,39.75,3.8225,6.635,10.4625,7.685,1.3575,0.44,7.6775,0.6525,,28.8325,79.6225,0.645,184.4725,3.682763,850.0,39.8,Good,Mumbai
10.8775,35.265,2.565,5.055,7.62,5.73,1.1025,0.395,7.9275,0.4625,,28.835,80.03,0.635,183.325,3.2038157,850.0,35.3,Good,Mumbai
8.385,29.6,1.98,3.955,5.9325,5.4325,1.135,0.38,8.2225,0.39,,28.79,79.125,0.66,211.38,2.7248685,850.0,29.6,Good,Mumbai
3.305,31.8425,1.375,3.335,4.695,6.345,1.22,0.375,8.675,0.3775,,28.615,79.935,0.57,192.6825,2.2459211,850.0,31.8,Good,Mumbai
3.0,13.95,1.7775,3.0025,4.785,11.4825,1.15,0.36,8.43,0.34,,28.545,79.4175,0.505,173.58,,850.0,18.0,Good,Mumbai
1.755,17.765,1.6375,3.19,4.825,10.575,1.14,0.3425,8.225,0.345,,28.4725,79.9325,0.54,177.1775,,850.0,17.8,Good,Mumbai
3.8775,30.35,3.185,2.9025,6.0875,9.1925,1.06,0.365,8.1125,0.3475,,28.5275,79.225,0.5225,169.2225,,850.0,30.4,Good,Mumbai
6.8175,31.0,5.495,5.4125,10.895,10.0625,1.36,0.4475,6.855,0.35,,28.6675,78.1025,0.52,171.26,10.15,850.0,31.0,Good,Mumbai
13.5725,52.2525,22.185,6.465,28.725,9.0325,1.39,0.6575,5.97,1.3775,,29.9425,75.685,0.5225,186.6675,51.6575,850.0,53.2,Satisfactory,Mumbai
26.205,95.9,17.925,4.375,22.195,7.7675,1.135,0.72,6.15,1.32,,31.1025,71.7725,0.6575,203.765,123.465,850.0,96.0,Satisfactory,Mumbai
31.7075,101.8,10.9125,2.8775,13.79,7.2175,1.5675,0.6025,6.1925,1.495,,31.5625,71.1,0.9,225.2425,303.8275,850.0,102.2,Moderate,Mumbai
32.0,102.0,9.62,2.62,12.24,6.32,1.6,0.6625,6.9,1.24,,32.445,67.365,1.055,230.685,529.52,850.0,102.3,Moderate,Mumbai
32.0,102.0,9.850962,2.7853847,12.636346,6.5184617,1.34,0.6275,6.535,1.3,,33.0775,65.49,1.045,222.02,558.1125,850.0,102.3,Moderate,Mumbai
37.0,93.666664,12.853461,4.9353848,17.788847,9.098461,1.675,0.8975,5.9775,1.3,,32.7875,66.7425,0.9825,229.1825,494.0,850.0,93.8,Satisfactory,Mumbai
