PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
12.96,52.475,7.6,14.045,18.055,7.025,4.945,0.29,8.845,6.37,6.425,30.11,79.04,1.66,231.76,119.75,,53.4,Satisfactory,Mumbai suburbs
21.7775,42.3125,7.39,14.0175,18.3575,9.96,5.0425,0.4175,28.1725,6.5475,8.29,26.49,82.2525,1.27,194.4275,82.875,,42.3,Good,Mumbai suburbs
15.4825,33.4,7.6925,14.1125,18.285,8.3075,4.79,0.32,14.3525,8.4675,11.9175,28.3725,79.425,1.8425,249.09,88.675,,33.4,Good,Mumbai suburbs
19.3025,37.2,7.7925,14.2575,18.3325,8.8125,4.7875,0.435,3.22,8.315,7.405,28.5575,77.7275,1.1225,172.055,67.1,,37.2,Good,Mumbai suburbs
13.9025,34.835,7.595,14.3625,18.28,12.59,4.9975,0.6625,2.8475,8.765,11.0575,27.8,79.5675,0.83,130.645,43.65,,34.8,Good,Mumbai suburbs
16.46,38.7525,7.6325,14.59,18.0325,15.695,4.93,1.1275,0.44,8.9925,11.8475,28.0575,82.035,0.7425,107.3325,42.925,,57.2,Satisfactory,Mumbai suburbs
19.2425,44.3575,7.625,14.2525,18.03,12.37,4.825,0.5725,32.825,10.31,22.26,27.8025,82.5625,1.935,240.62,43.6,,44.4,Good,Mumbai suburbs
16.5225,31.3775,7.555,14.5625,18.4375,12.3875,4.8475,0.585,11.3925,9.15,9.7525,27.145,82.855,0.665,186.8275,43.025,,31.4,Good,Mumbai suburbs
15.635,31.725,7.5575,14.47,18.075,13.47,4.715,0.64,8.5625,10.7025,16.7325,27.635,83.2,1.2825,203.925,42.85,,32.0,Good,Mumbai suburbs
16.875,35.685,7.4075,14.395,17.615,9.185,3.335,0.42,4.505,10.69,13.1825,27.5925,83.6575,0.61,99.6975,43.0,,35.7,Good,Mumbai suburbs
15.2375,33.83,7.7075,14.4975,18.2175,9.345,3.51,0.48,1.32,11.2025,15.81,27.6625,83.9175,0.77,124.3075,42.8,,33.8,Good,Mumbai suburbs
11.815,24.7,7.525,14.0675,17.94,7.6725,3.7425,0.3625,22.2875,11.1775,15.2,27.6125,84.1225,1.77,218.435,43.325,,24.7,Good,Mumbai suburbs
17.455,23.33,7.47,14.225,18.0375,8.1425,3.77,0.2875,19.155,9.4475,8.2375,27.53,83.4975,0.79,202.0,42.925,,29.1,Good,Mumbai suburbs
12.4575,25.6775,7.44,14.3125,18.2325,9.1425,3.7075,0.3175,3.03,8.955,9.47,27.4325,83.8575,0.71,136.835,42.825,,25.7,Good,Mumbai suburbs
14.835,22.5875,7.57,13.805,18.305,10.4675,3.7125,0.4125,3.03,9.7875,12.6525,27.5925,84.135,0.8375,120.6375,43.075,,24.7,Good,Mumbai suburbs
16.54,27.055,7.585,14.4775,18.49,13.2925,3.8125,0.6275,5.7940626,11.165,13.7175,27.72,84.165,0.8525,120.0275,61.95,,31.4,Good,Mumbai suburbs
20.14,26.0675,7.59,14.4175,18.3575,14.585,3.67,0.625,10.216562,12.15,16.3575,27.875,84.185,0.8675,132.355,110.5,,33.6,Good,Mumbai suburbs
21.755,23.3925,7.645,14.45,18.4425,15.79,3.78,0.94,14.639063,13.0075,15.195,28.4125,83.47,0.9325,132.095,151.05,,47.0,Good,Mumbai suburbs
18.8175,43.78,7.67,13.8325,18.3675,7.325,3.3375,0.3025,19.061562,13.235,18.0025,29.0875,79.8075,1.6425,185.3325,262.45,,43.8,Good,Mumbai suburbs
21.3875,31.2325,7.6475,14.09,18.4925,6.0375,3.49,0.285,11.055,12.085,9.6875,30.1125,75.39,1.725,193.3775,275.85,,35.6,Good,Mumbai suburbs
15.9275,22.4625,7.4025,14.4675,18.64,5.74,3.31,0.275,0.63,11.065,8.3325,30.815,74.705,2.1075,175.8125,473.85,,26.5,Good,Mumbai suburbs
22.1725,44.1275,7.5675,14.0525,18.0725,5.8525,3.6275,0.27,1.5175,9.9775,7.195,31.3475,72.38,2.6675,184.0725,527.85,,44.1,Good,Mumbai suburbs
23.535,38.5225,7.7425,14.3125,18.22,6.0775,3.63,0.2825,18.285,8.4775,6.0925,28.6575,78.8875,3.17,216.085,101.325,,39.2,Good,Mumbai suburbs
16.8875,29.5225,7.5675,14.205,18.8075,7.2475,3.9,0.3575,11.7825,6.5575,4.9875,28.2975,81.9175,1.575,172.1,81.925,,29.5,Good,Mumbai suburbs
22.8525,30.845,7.685,14.2225,17.865,6.655,3.965,0.3075,25.9825,8.2375,6.6375,29.1575,81.71,1.9975,205.2625,68.75,,38.1,Good,Mumbai suburbs
16.2325,25.7475,7.505,14.365,17.77,5.905,3.9325,0.3025,27.1675,8.96,7.405,28.855,80.635,2.04,203.32,77.525,,27.2,Good,Mumbai suburbs
15.8375,39.1075,7.6025,13.925,18.255,9.9425,3.9525,0.305,29.8125,9.2175,7.0425,28.91,79.715,2.5275,206.2275,64.775,,39.1,Good,Mumbai suburbs
12.1525,45.5575,7.4575,14.22,18.055,4.2525,4.3,0.3625,17.17,8.935,7.1225,28.5625,75.33,1.6175,194.2575,52.8,,45.6,Good,Mumbai suburbs
9.2725,41.57,7.605,14.3675,18.045,11.6575,4.3075,0.9175,8.63,8.9625,9.625,28.33,79.8575,0.9175,127.5125,42.875,,45.9,Good,Mumbai suburbs
15.075,40.9825,7.29,14.5975,18.545,16.99,4.745,1.3775,8.666928,9.395,24.3425,28.4725,81.7125,0.8175,132.12,42.425,,69.5,Satisfactory,Mumbai suburbs
25.65,54.39,7.54,14.6075,18.14,8.1675,3.9075,0.4025,9.147,9.61,21.4975,29.03,80.1025,1.09,182.2725,41.9,,55.3,Satisfactory,Mumbai suburbs
24.0625,42.925,7.5675,14.6625,18.5,9.615,3.9175,0.6275,9.737857,9.7575,10.38,28.4125,79.5025,0.715,121.82,42.8,,42.9,Good,Mumbai suburbs
17.305,43.1425,7.7375,14.435,17.89,12.59,3.835,0.8575,10.328714,10.7675,22.0025,28.1225,81.2325,0.5425,124.2775,42.5,,43.1,Good,Mumbai suburbs
21.955,45.8825,7.5975,13.99,18.235,12.315,3.1025,0.8725,10.919572,12.07,38.125,28.325,82.2975,0.5975,135.5425,42.5,,45.9,Good,Mumbai suburbs
18.4725,41.8325,7.6875,13.8925,18.56,9.87,3.0125,0.67,11.510428,13.245,32.685,28.155,82.7325,0.8925,142.4225,42.475,,41.8,Good,Mumbai suburbs
25.0825,43.615,7.5825,14.11,18.0825,7.845,2.81,0.3575,12.027429,14.0325,16.9,28.11,83.255,0.7925,130.525,42.825,,43.6,Good,Mumbai suburbs
21.47,41.955,7.7,14.395,18.375,8.6,2.6625,0.3875,,13.7225,15.1525,27.865,83.94,0.6775,138.2375,42.8,,42.0,Good,Mumbai suburbs
16.8575,40.5525,7.605,14.41,18.2225,8.89,2.7675,0.3625,,12.735,15.9875,27.9975,84.225,0.7925,116.48,42.775,,40.6,Good,Mumbai suburbs
26.485,36.7975,7.5375,14.2175,18.1525,15.775,2.8075,0.31,14.2,12.095,13.155,27.2925,83.7075,1.22,165.3675,43.65,,44.1,Good,Mumbai suburbs
23.5575,38.5125,7.445,14.105,18.4975,22.625,2.7875,0.4425,14.4,11.1325,10.5075,27.455,83.885,0.9325,126.96,68.2,,39.3,Good,Mumbai suburbs
25.145,39.9225,7.52,14.6925,18.115,22.83,2.9525,0.8725,13.523125,11.3375,14.6575,28.2,83.94,0.86,131.5,128.275,,43.6,Good,Mumbai suburbs
24.4625,35.235,7.5275,14.12,18.275,15.13,2.5425,0.475,5.965625,12.2425,15.8625,27.695,83.1675,1.2125,199.125,68.875,,40.8,Good,Mumbai suburbs
19.6575,27.34,7.5325,14.165,18.3875,12.14,2.74,0.5525,4.3125,12.625,16.25,27.3525,83.6475,1.1425,147.04,61.8,,32.8,Good,Mumbai suburbs
19.9725,27.67,7.5375,14.2175,18.1025,16.0025,3.015,0.7425,5.85,12.895,14.495,26.9325,84.95,0.69,108.425,56.375,,37.1,Good,Mumbai suburbs
22.795,26.3175,7.5025,14.0325,18.3875,14.0475,2.8325,0.6175,5.85,13.075,24.7375,26.94,85.2975,0.985,133.265,61.725,,38.0,Good,Mumbai suburbs
20.1175,27.905,7.545,14.3,17.7425,10.18,2.74,0.4175,45.5425,11.9325,19.905,26.95,85.5225,2.3975,194.7975,69.125,,45.5,Good,Mumbai suburbs
