PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
48.95,89.21,8.72,100.46,59.48,29.55,17.76,0.75,9.85,3.43,18.62,,31.61,0.51,242.42,,,121.3,Moderate,Nagpur
49.2,87.625,6.905,93.955,54.625,28.1,16.9575,0.675,10.1925,3.1975,17.365,,32.3325,0.4575,241.18,,,114.8,Moderate,Nagpur
50.175,84.195,1.33,68.255,36.725,23.26,14.385,0.45,12.72,2.43,13.105,,35.195,0.305,235.2575,,,85.6,Satisfactory,Nagpur
46.3625,83.72,0.81,49.1575,26.3175,21.3425,13.145,0.435,16.6425,2.2175,11.5,,37.98,0.3825,240.045,,,84.0,Satisfactory,Nagpur
33.4625,71.3425,1.1175,50.5775,27.2775,20.68,10.67,0.4025,13.5475,2.25,12.045,,40.525,0.5525,258.3525,,,71.9,Satisfactory,Nagpur
32.8875,74.52,2.84,57.415,32.2575,22.5125,9.3825,0.45,10.38,2.4475,19.78,,40.765,0.4925,210.4275,,,75.0,Satisfactory,Nagpur
28.01,73.7175,2.255,54.62,30.2675,22.2775,11.7125,0.5025,12.9125,2.7275,33.37,,36.4675,0.4825,219.89,71.5,,74.2,Satisfactory,Nagpur
39.4325,77.4075,5.62,73.4925,42.855,24.8375,21.6525,0.6575,12.9725,3.185,29.0225,,32.875,0.51,231.775,105.925,,92.0,Satisfactory,Nagpur
55.9075,109.9325,8.8075,77.3675,47.4875,25.8425,13.4525,0.785,25.5925,3.7425,24.6725,,28.1725,0.535,183.1175,270.65,,107.6,Moderate,Nagpur
51.52,124.225,2.115,29.255,16.965,15.675,8.545,0.3575,59.6575,2.1475,9.2925,,18.275,0.71,197.6425,470.175,,117.0,Moderate,Nagpur
43.5575,97.4775,1.7875,24.49,14.1075,13.5775,9.34,0.285,71.87,0.8925,4.2475,,15.4825,0.75,166.94,549.125,,97.5,Satisfactory,Nagpur
40.215,84.9375,2.0075,20.045,11.845,12.7875,9.4525,0.2775,84.87,0.99,4.9,,13.655,0.775,179.5825,664.375,,85.2,Satisfactory,Nagpur
32.025,87.9575,1.6275,20.445,11.82,12.9175,9.8925,0.315,91.165,0.905,4.69,,11.87,0.7525,174.6775,570.275,,91.3,Satisfactory,Nagpur
27.9175,76.3475,1.3175,23.645,13.2975,12.1875,8.4825,0.34,85.09,0.895,4.92,,10.49,0.7075,182.5875,152.625,,85.4,Satisfactory,Nagpur
17.3875,59.155,1.29,21.8775,12.2375,10.555,5.2925,0.3,71.98,0.7175,3.765,,8.33,0.68,230.4675,242.475,,72.5,Satisfactory,Nagpur
18.96,61.955,1.8925,19.6725,11.755,10.845,3.6725,0.35,67.14,0.42,2.3225,,8.1725,0.7675,230.8225,434.75,,67.8,Satisfactory,Nagpur
20.6925,54.63,1.625,18.655,10.9875,10.7275,3.165,0.335,66.405,0.4725,2.555,,9.2625,0.725,238.34,195.175,,67.1,Satisfactory,Nagpur
17.57,53.66,1.66,27.26,15.5025,12.4025,3.495,0.4025,61.3575,0.53,2.9275,,9.515,0.795,239.4575,164.075,,62.1,Satisfactory,Nagpur
11.0875,56.3125,0.3375,40.115,21.06,13.9775,3.88,0.4475,53.395,0.7875,4.8325,,11.525,0.515,250.3375,0.8,,57.2,Satisfactory,Nagpur
18.9925,59.055,6.805,89.82,52.3625,24.025,6.2975,0.5825,30.9375,1.9375,11.5325,,14.63,0.49,246.865,0.8,,110.7,Moderate,Nagpur
35.5325,65.5075,29.28,153.655,103.7575,38.83,7.4775,1.2275,5.7925,3.85,20.3525,,18.1025,0.3175,280.62,6.010227,,173.9,Moderate,Nagpur
41.7275,74.425,61.9625,177.5025,142.43,50.15,10.7275,1.6725,1.5675,7.675,36.16,,21.4,0.21,233.4825,14.346591,,197.5,Moderate,Nagpur
49.31,79.73,124.6525,235.5475,223.03,74.9175,17.49,2.6975,0.5175,11.465,50.83,,25.3025,0.4175,248.9475,22.682955,,256.0,Poor,Nagpur
54.005,98.9175,121.3075,226.4375,215.5875,73.655,13.47,2.5075,0.5075,15.3525,64.425,,28.835,0.4875,269.085,31.019318,,247.0,Poor,Nagpur
65.43,109.62,61.515,166.13,136.1325,51.495,9.2125,1.62,0.14,10.77,49.365,,30.915,0.18,246.105,39.355682,,186.3,Moderate,Nagpur
39.915,99.6525,20.405,127.225,82.835,36.2225,6.9925,1.2425,1.89,8.79,41.965,,31.33,0.19,283.55,47.692047,,147.8,Moderate,Nagpur
26.4675,89.025,1.1625,88.76,47.28,25.0925,5.935,0.73,6.4,5.6675,29.5275,,32.2175,0.325,180.0575,,,109.7,Moderate,Nagpur
34.315,76.135,0.865,69.665,36.95,22.64,7.145,0.64,7.3175,4.2125,23.23,,33.685,0.5975,276.8075,,,87.3,Satisfactory,Nagpur
38.15,82.865,1.105,40.415,21.845,18.86,16.795,0.4275,18.995,3.285,20.1825,,28.91,0.4175,270.805,,,83.2,Satisfactory,Nagpur
51.56,67.0,2.2225,42.62,24.015,18.2675,22.6525,0.3975,23.175,2.005,13.2175,,27.15,0.3325,246.84,,,86.2,Satisfactory,Nagpur
48.3125,62.3875,2.6675,62.2675,34.575,21.2175,10.12,0.5525,16.0925,1.63,10.9575,,28.435,0.5575,181.5975,92.5,,80.9,Satisfactory,Nagpur
43.42,68.5825,3.0575,58.765,33.14,20.705,6.8975,0.425,22.45,2.81,15.885,,28.54,0.6,209.06,136.65,,74.0,Satisfactory,Nagpur
45.4775,86.33,2.9875,55.935,31.535,20.3075,10.155,0.4525,39.6525,4.2225,21.35,,21.785,0.7125,185.8075,314.8,,86.6,Satisfactory,Nagpur
49.185,100.4275,5.205,49.9825,30.19,19.3925,10.7875,0.45,56.625,2.715,11.6575,,19.125,0.8775,178.15,478.925,,101.3,Moderate,Nagpur
33.1,82.1175,6.6225,52.935,32.9525,17.3575,12.115,0.6025,63.9475,2.965,14.6775,,16.3175,0.8675,170.985,580.6,,82.5,Satisfactory,Nagpur
32.0525,79.3575,6.9025,49.0675,31.1325,18.365,8.6025,0.5875,65.5725,3.28,18.1475,,14.32,0.7325,174.805,654.075,,79.8,Satisfactory,Nagpur
36.11,82.705,10.035,57.425,38.0375,18.655,5.625,0.51,59.315,2.365,15.12,,12.6125,0.6825,190.91,659.925,,83.1,Satisfactory,Nagpur
26.47,64.4075,6.6075,54.655,33.82,18.935,6.03,0.5475,58.4325,2.3175,15.3075,,11.27,0.835,221.855,547.9,,69.0,Satisfactory,Nagpur
27.5675,64.1725,6.9225,78.1275,46.3425,23.9725,10.14,0.745,48.4425,2.5175,16.455,,12.86,0.715,183.345,374.075,,97.7,Satisfactory,Nagpur
35.015,75.02,5.3675,71.7275,41.7125,21.155,7.6625,0.7175,49.97,2.7775,17.525,,13.7975,0.7525,201.5525,64.75,,89.9,Satisfactory,Nagpur
29.615,79.61,7.3825,58.9225,36.6925,21.4025,5.8,0.5525,51.4,2.07,14.0325,,19.7075,1.235,206.8675,39.7,,80.0,Satisfactory,Nagpur
38.72,94.7975,7.34,49.01,31.435,21.405,4.3975,0.44,53.325,3.4825,21.7,,33.845,1.64,247.71,38.725,,94.9,Satisfactory,Nagpur
47.255,99.335,21.6625,120.8875,80.44,36.125,9.45,1.17,23.0275,7.3,40.5525,,29.1575,0.575,177.8475,27.225,,141.5,Moderate,Nagpur
44.4425,92.6925,28.295,136.115,93.7675,42.235,7.9925,1.29,18.9425,14.6675,69.535,,30.015,0.1675,215.3625,1.5,,156.6,Moderate,Nagpur
53.5425,99.8425,71.42,205.615,164.7025,63.0075,14.6675,2.22,2.03,10.325,48.91,,31.125,0.445,180.695,1.5,,226.4,Poor,Nagpur
48.615,117.175,62.285,189.81,149.115,57.9925,12.6725,2.05,2.4475,12.505,53.805,,35.53,0.4825,212.8725,5.78125,,210.7,Poor,Nagpur
57.865,120.8,123.9575,230.705,219.9425,78.3075,16.42,2.765,0.4575,14.61,60.865,,43.4475,0.44,229.15,12.63125,,251.2,Poor,Nagpur
73.505,123.24,83.36,190.025,166.13,65.1025,11.875,2.1775,0.45,14.7025,61.055,,43.7325,0.38,198.5775,19.48125,,210.9,Poor,Nagpur
65.71,125.0075,41.8975,140.1275,106.8125,50.9875,7.0975,1.43,0.45,9.63,42.0825,,52.1,0.41,273.0625,26.33125,,160.5,Moderate,Nagpur
52.89,97.37,22.845,118.8825,80.4325,44.83,6.585,1.0275,0.26875,8.1125,39.055,,52.64,0.4925,243.655,33.18125,,139.5,Moderate,Nagpur
45.5625,85.865,8.3375,95.245,56.45,39.3,6.0875,0.755,0.625,5.95,34.9725,,55.205,0.4675,242.3775,40.03125,,116.1,Moderate,Nagpur
46.3475,75.605,3.345,77.2775,43.0575,36.665,5.1375,0.5775,2.3025,4.7,30.8725,,56.095,0.45,266.0525,,,96.7,Satisfactory,Nagpur
45.635,66.295,2.9325,68.0825,37.9225,35.1325,5.185,0.51,3.68,4.2775,27.1975,,54.4725,0.3975,279.38,,,85.4,Satisfactory,Nagpur
37.42,72.7775,2.39,62.94,34.7975,34.075,9.3375,0.4325,6.4375,3.2375,19.1175,,48.2525,0.3975,270.0725,,,79.1,Satisfactory,Nagpur
41.3575,66.8625,3.075,61.45,34.57,33.4225,15.245,0.4225,12.5375,2.3925,12.1875,,42.5375,0.5875,237.0075,70.0,,77.3,Satisfactory,Nagpur
44.105,69.7075,1.73,44.1075,24.4325,27.48,14.1225,0.2825,24.2175,2.02,7.95,,40.91,0.6325,249.96,119.0,,74.0,Satisfactory,Nagpur
48.85,69.265,2.05,34.505,19.6625,25.0475,13.2225,0.29,40.3775,2.3975,6.62,,34.995,0.8375,249.6625,319.475,,81.8,Satisfactory,Nagpur
44.4025,75.52,3.235,46.495,26.8425,26.6925,19.6325,0.3725,55.2625,2.1275,8.4575,,26.8775,0.725,196.89,463.95,,76.0,Satisfactory,Nagpur
34.7225,62.5175,4.9025,67.935,39.37,30.6225,28.77,0.655,61.7125,2.87,15.54,,24.7,0.7675,180.3175,479.3,,85.2,Satisfactory,Nagpur
38.795,64.06,6.3525,76.2425,44.9175,32.005,37.98,0.745,72.3925,4.0675,20.1425,,20.9675,0.7725,190.99,665.4,,95.4,Satisfactory,Nagpur
35.59,58.57,6.57,67.2925,40.41,28.935,38.4975,0.715,84.665,2.0075,11.3425,,19.6,0.8,161.2925,659.55,,85.0,Satisfactory,Nagpur
41.89,75.3625,5.705,61.185,36.43,29.25,30.6425,0.73,86.1825,2.2225,14.0525,,19.19,0.725,159.9825,669.05,,86.5,Satisfactory,Nagpur
40.6575,64.12,3.845,55.6075,31.9475,25.3225,24.055,0.6775,82.8975,2.5675,16.9075,,17.165,0.6775,153.495,626.9,,83.2,Satisfactory,Nagpur
