Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,240.74,295.02,123.1,136.74,13.64,170.18,5.81,3.14,1.0,3.72,25.41,23.67,,18.84,8.85,21.69,79.19,,337.46,0.0,0.0,,852.8,
2021-01-01 00:15:00,245.79,303.59,125.78,136.53,10.76,170.45,6.18,3.18,1.0,3.74,25.3,23.5,,18.97,8.78,21.61,79.47,,101.25,0.0,0.0,,853.1,
2021-01-01 00:30:00,259.86,320.05,123.27,132.09,8.89,166.76,6.19,3.16,1.0,3.7,25.1,23.33,,18.82,8.68,21.61,79.39,,7.37,0.0,0.0,,853.1,
2021-01-01 00:45:00,270.27,330.49,130.51,133.74,3.3,169.51,6.29,3.19,1.0,3.69,24.9,23.11,,18.91,8.71,21.5,80.79,,257.83,0.0,0.0,,853.0,
2021-01-01 01:00:00,266.68,325.41,111.45,121.94,10.49,153.54,6.1,3.21,1.0,3.71,24.95,24.2,,19.23,8.74,21.4,81.61,,1.38,0.0,0.0,,853.1,
2021-01-01 01:15:00,263.58,318.21,134.37,138.61,4.24,173.72,6.05,3.17,1.0,3.7,24.51,23.87,,18.78,8.52,21.29,82.16,,353.68,0.0,0.0,,852.9,
2021-01-01 01:30:00,248.07,297.51,127.97,132.5,4.54,166.25,6.28,3.14,1.0,3.63,23.79,23.38,,18.25,8.31,21.23,83.58,,234.9,0.0,0.0,,852.7,
2021-01-01 01:45:00,239.88,287.91,128.58,131.5,3.0,165.5,6.58,3.12,0.46,3.62,23.42,23.22,,18.19,8.11,21.14,84.81,,339.17,0.0,0.0,,853.0,
2021-01-01 02:00:00,251.96,302.07,140.09,137.19,0.0,173.52,5.64,3.06,1.0,3.61,23.16,23.73,,18.22,8.09,21.05,85.56,,327.58,0.0,0.0,,852.9,
2021-01-01 02:15:00,267.56,320.26,143.72,141.33,0.46,177.18,5.32,2.97,1.0,3.64,23.1,23.77,,18.06,8.07,21.01,85.48,,24.27,0.0,0.0,,852.9,
