PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,,,16.82,,46.78,0.01,,,,,,,,,,59.3,Satisfactory,Pune
,,,,36.165,,101.64,0.3075,,,,,,,,,,108.1,Moderate,Pune
,,,,11.5125,,101.64,1.285,,0.0,0.0,,,,,,,108.1,Moderate,Pune
,,,,13.415,,101.543594,0.905,,0.0,0.0,,,,,,,108.1,Moderate,Pune
,,,,9.2375,,101.28651,0.59,,0.0,0.0,,,,,,,108.0,Moderate,Pune
,,,,9.5525,,101.02943,0.74,,0.0,0.0,,,,,,,107.9,Moderate,Pune
,,,,9.0175,,100.77234,0.685,,0.0,0.0,,,,,,,107.9,Moderate,Pune
,,,,7.73,,100.51526,0.625,,0.0,0.0,,,,,,,107.8,Moderate,Pune
,,,,6.19,,100.25817,0.5475,,0.0,0.0,,,,,,,107.7,Moderate,Pune
,,,,5.24,,100.097496,0.54,,0.0,0.0,,,,,,,107.6,Moderate,Pune
,,,,4.0425,,,0.51,,0.0,0.0,,,,,,,25.5,Good,Pune
,,,,4.4075,,,0.3525,,0.0,0.0,,,,,,,17.6,Good,Pune
,,,,4.52,,,0.38,,0.0,0.0,,,,,,,19.0,Good,Pune
,,,,7.415,,,0.2625,,0.0,0.0,,,,,,,13.1,Good,Pune
,,,,8.275,,,0.1575,,0.0,0.0,,,,,,,7.9,Good,Pune
,,,,15.7025,,,0.425,,0.0,0.0,,,,,,,21.2,Good,Pune
,,,,36.2875,,,0.5575,,0.0,0.0,,,,,,,27.9,Good,Pune
,,,,41.285,,,0.7675,,0.0,0.0,,,,,,,38.4,Good,Pune
,,,,54.575,,,0.8525,,0.0,0.0,,,,,,,42.6,Good,Pune
,,,,56.38,,,0.8775,,0.0,0.0,,,,,,,43.9,Good,Pune
,,,,65.3,,,0.93,,0.0,0.0,,,,,,,46.5,Good,Pune
,,,,65.140495,,,0.9272965,,0.0,0.0,,,,,,,46.4,Good,Pune
,,,,63.066917,,,0.8921512,,0.0,0.0,,,,,,,44.6,Good,Pune
,,,,60.514824,,,0.8488954,,0.0,0.0,,,,,,,42.4,Good,Pune
,,,,57.962734,,,0.8056395,,0.0,0.0,,,,,,,40.3,Good,Pune
,,,,55.41064,,,0.7623837,,0.0,0.0,,,,,,,38.1,Good,Pune
,,,,52.858547,,,0.7191279,,0.0,0.0,,,,,,,36.0,Good,Pune
,,,,50.625465,,,0.68127906,,0.0,0.0,,,,,,,34.1,Good,Pune
,,,,30.7925,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,47.2,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,70.6225,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,50.015,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,41.665,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,62.2525,,,0.0,,0.0,0.0,,0.23,,0.86,0.73,,0.0,Good,Pune
,,,,69.02,,,0.0,,0.0,0.0,,0.23,,0.86,0.73,,0.0,Good,Pune
,,,,131.845,,,0.0,,0.0,0.0,,0.251912,,0.866875,1.0412931,,0.0,Good,Pune
,,,,260.245,,,0.0,,0.0,0.0,,0.310344,,0.8852083,1.8714083,,0.0,Good,Pune
,,,,130.7625,,,0.0,,0.0,0.0,,0.36877605,,0.9035417,2.7015235,,0.0,Good,Pune
,,,,62.8125,,,0.0,,0.0,0.0,,0.42720807,,0.921875,3.5316389,,0.0,Good,Pune
,,,,33.8125,,,0.0,,0.0,0.0,,0.48564008,,0.9402083,4.361754,,0.0,Good,Pune
,,,,24.92,,,0.0,,0.0,0.0,,0.5440721,,0.9585417,5.1918693,,0.0,Good,Pune
,,,,17.8675,,,0.0,,0.0,0.0,,0.5805921,,0.97,5.710691,,0.0,Good,Pune
,,,,13.2175,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,7.73,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,7.75,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,8.3825,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,17.7175,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,20.2925,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,26.2325,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,32.06,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,31.09,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,31.3775,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,47.1425,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,32.79,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,61.4425,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,34.8425,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,37.4675,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,39.7175,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,42.195,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,40.08,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,51.48,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,108.265,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,107.315,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,85.2425,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,46.395,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,19.185,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,15.43,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,18.2225,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,16.435,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,17.535,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,51.8475,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,127.0125,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,125.17,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,94.0275,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,96.36,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,78.8575,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,58.6075,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,41.84,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,56.295,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,41.86,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,50.6075,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,56.2575,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,63.3975,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,74.715,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,96.905,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,54.7175,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,60.58,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,50.7675,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,41.8325,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,25.7125,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,16.8675,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,13.06,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,10.1975,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,12.6375,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,19.2325,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,36.28,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,64.1375,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,46.0875,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,68.62,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,55.655,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,68.3875,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,70.145,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,58.3525,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,52.3025,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,49.6975,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,55.9775,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,48.0225,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,44.5225,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,59.89,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,66.12,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,33.23,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,11.55,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,43.0125,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,29.3425,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,16.7875,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,11.63,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,9.79,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,11.6775,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,19.81,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,42.475,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,58.795,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,24.4525,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,10.2,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,52.05,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,73.175,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,58.5,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,62.75,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,49.635,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,44.8625,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,45.24,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,51.5625,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,59.76,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,66.77,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,71.7525,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,58.0075,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,43.07,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,39.39,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,21.5775,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,16.955,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,12.875,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,12.96,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,14.255,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,18.045,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,33.0025,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,46.15,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,51.6025,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
,,,,53.12,,,0.0,,0.0,0.0,,,,,,,0.0,Good,Pune
