PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
131.66667,219.33333,,,,,,,,0.6666667,,,,,,,,309.9,Very Poor,Singrauli
92.0,179.5,,,,,,,,0.4,,,,,,,,207.6,Poor,Singrauli
62.5,148.5,,,,,,,,0.3,,,,,,,,133.0,Moderate,Singrauli
50.0,125.5,,,,,,,,0.2,,,,,,,,117.8,Moderate,Singrauli
35.0,103.25,,,,,,,,0.175,,,,,,,,103.1,Moderate,Singrauli
38.5,104.25,,,,,,,,0.2,,,,,,,,103.8,Moderate,Singrauli
69.75,162.5,,,,,,,,0.475,,,,,,,,142.2,Moderate,Singrauli
159.75,318.25,,,,,,,,1.3,,,,,,,,331.3,Very Poor,Singrauli
267.0,533.5,,,,,,,,2.725,,,,,,,,461.3,Severe,Singrauli
299.25,534.25,,,,,,,,2.425,,,,,,,,461.7,Severe,Singrauli
158.5,295.75,,,,,,,,1.025,,,,,,,,330.3,Very Poor,Singrauli
97.25,181.75,,,,,,,,0.725,,,,,,,,224.9,Poor,Singrauli
111.75,192.0,,,,,,,,0.9,,,,,,,,272.8,Poor,Singrauli
127.0,213.75,,,,,,,,0.9,,,,,,,,306.3,Very Poor,Singrauli
131.0,205.5,,,,,,,,0.9,,,,,,,,309.4,Very Poor,Singrauli
129.0,195.0,,,,,,,,0.725,,,,,,,,307.9,Very Poor,Singrauli
111.5,174.0,,,,,,,,0.6,,,,,,,,272.0,Poor,Singrauli
107.5,180.75,,,,,,,,0.675,,,,,,,,258.8,Poor,Singrauli
143.5,242.0,,,,,,,,1.5,,,,,,,,318.9,Very Poor,Singrauli
222.25,295.75,,,,,,,,1.5,,,,,,,,378.9,Very Poor,Singrauli
210.25,317.75,,,,,,,,1.525,,,,,,,,369.7,Very Poor,Singrauli
182.25,309.75,,,,,,,,1.475,,,,,,,,348.4,Very Poor,Singrauli
244.25,377.25,,,,,,,,1.375,,,,,,,,395.6,Very Poor,Singrauli
167.0,288.0,,,,,,,,1.05,,,,,,,,336.8,Very Poor,Singrauli
131.25,265.0,,,,,,,,0.775,,,,,,,,309.6,Very Poor,Singrauli
110.75,261.75,,,,,,,,0.55,,,,,,,,269.5,Poor,Singrauli
125.75,292.75,,,,,,,,0.525,,,,,,,,305.4,Very Poor,Singrauli
104.5,249.75,,,,,,,,0.375,,,,,,,,248.8,Poor,Singrauli
56.25,144.25,,,,,,,,0.2,,,,,,,,130.2,Moderate,Singrauli
42.75,105.25,,,,,,,,0.2,,,,,,,,104.5,Moderate,Singrauli
86.0,184.0,,,,,,,,0.625,,,,,,,,186.8,Moderate,Singrauli
237.0,414.5,,,,,,,,2.2,,,,,,,,390.1,Very Poor,Singrauli
324.25,530.25,,,,,,,,2.575,,,,,,,,459.4,Severe,Singrauli
281.75,434.75,,,,,,,,1.975,,,,,,,,413.6,Severe,Singrauli
110.75,209.75,,,,,,,,0.725,,,,,,,,269.5,Poor,Singrauli
81.5,171.25,,,,,,,,0.85,,,,,,,,172.0,Moderate,Singrauli
122.0,205.5,,,,,,,,0.85,,,,,,,,302.5,Very Poor,Singrauli
120.25,186.0,,,,,,,,0.75,,,,,,,,301.2,Very Poor,Singrauli
110.0,173.5,,,,,,,,0.575,,,,,,,,267.0,Poor,Singrauli
94.5,160.75,,,,,,,,0.475,,,,,,,,215.8,Poor,Singrauli
94.0,157.5,,,,,,,,0.55,,,,,,,,214.2,Poor,Singrauli
96.0,170.25,,,,,,,,0.5,,,,,,,,220.8,Poor,Singrauli
100.0,186.5,,,,,,,,0.85,,,,,,,,234.0,Poor,Singrauli
123.75,213.0,,,,,,,,1.225,,,,,,,,303.9,Very Poor,Singrauli
133.25,215.5,,,,,,,,1.175,,,,,,,,311.1,Very Poor,Singrauli
157.75,271.25,,,,,,,,1.325,,,,,,,,329.7,Very Poor,Singrauli
215.25,357.25,,,,,,,,1.5,,,,,,,,373.5,Very Poor,Singrauli
177.25,308.75,,,,,,,,0.9,,,,,,,,344.6,Very Poor,Singrauli
92.25,183.25,,,,,,,,0.375,,,,,,,,208.4,Poor,Singrauli
53.0,119.0,,,,,,,,0.3,,,,,,,,113.5,Moderate,Singrauli
60.5,136.5,,,,,,,,0.3,,,,,,,,125.1,Moderate,Singrauli
71.25,165.0,,,,,,,,0.375,,,,,,,,143.9,Moderate,Singrauli
82.25,180.75,,,,,,,,0.3,,,,,,,,174.4,Moderate,Singrauli
