PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
75.5,121.7675,1.3675,9.2725,6.045,,4.6,0.9725,,,,33.0,47.93,1.6175,63.95,31.555,850.0,152.2,Moderate,Surat
101.5,162.5675,1.2675,9.475,6.0675,,4.3375,1.1475,,,,31.0825,51.73,1.155,49.52,0.545,850.0,239.0,Poor,Surat
98.25,148.0,1.2475,9.2175,5.915,,4.415,1.3625,,,,29.9825,52.97,1.105,66.1625,0.0,850.0,228.2,Poor,Surat
86.6625,147.775,1.4175,9.37,6.14,,4.63,1.5975,,,,29.0475,55.635,0.7225,64.11,0.0,850.0,189.0,Moderate,Surat
93.75,149.1,1.14,9.4475,5.95,,4.57,1.8075,,,,28.085,58.4925,0.4925,58.255,0.0,850.0,213.4,Poor,Surat
90.5,154.6,1.315,9.4375,6.0875,,4.425,2.025,,,,27.8075,60.4425,0.6725,45.0975,0.0,850.0,202.6,Poor,Surat
87.75,147.6725,1.3975,9.2875,6.075,,4.4075,2.0125,,,,27.65,60.1875,0.62,47.84,0.0,850.0,192.6,Moderate,Surat
79.5,147.0,1.33,9.325,6.0425,,4.395,1.7275,,,,26.4325,63.4575,0.45,198.4925,0.0,850.0,165.4,Moderate,Surat
106.05,180.9675,1.125,9.6925,6.0675,,4.6325,1.5875,,,,25.37,68.4775,0.825,223.105,0.0,850.0,254.0,Poor,Surat
145.25,217.4675,1.32,9.3925,6.07,,4.79,1.3925,,,,25.125,67.4275,0.6675,220.6575,0.0,850.0,320.2,Very Poor,Surat
141.6925,216.4325,1.3375,9.4475,6.115,,5.4575,1.2825,,,,24.5775,67.77,0.9225,219.5875,0.0,850.0,317.5,Very Poor,Surat
140.75,205.4325,1.2225,9.3475,5.965,,6.1575,1.1325,,,,24.1,67.835,1.345,226.375,0.0,850.0,316.8,Very Poor,Surat
115.9575,183.9325,1.365,9.2475,6.0275,,4.8925,0.94,,,,23.78,66.62,0.7025,198.4425,0.0,850.0,286.7,Poor,Surat
97.0,142.4,1.23,9.495,6.0525,,4.565,1.005,,,,23.445,67.8575,0.6275,210.34,0.0,850.0,224.1,Poor,Surat
110.2925,168.6,1.345,9.4025,6.095,,7.9575,1.295,,,,24.125,67.235,1.0075,202.2975,50.43,850.0,268.0,Poor,Surat
157.0,250.2325,1.285,9.3025,5.99,,11.5725,1.4825,,,,26.26,62.17,1.22,199.0925,203.245,850.0,329.2,Very Poor,Surat
173.75,277.0325,1.4325,9.2775,6.1025,,12.575,1.54,,,,28.6375,54.49,1.9525,199.5075,350.1525,850.0,341.9,Very Poor,Surat
169.3325,267.8675,1.38,9.2675,6.0475,,6.7875,1.2975,,,,30.47,52.2875,1.7025,220.805,430.3325,850.0,338.6,Very Poor,Surat
133.6825,199.4,1.2475,9.3725,6.0025,,5.5925,1.1975,,,,33.255,46.625,0.9675,182.425,473.365,850.0,311.4,Very Poor,Surat
122.075,185.6675,1.26,9.2125,5.925,,5.4825,1.27,,,,35.5175,42.6825,0.99,189.5725,466.215,850.0,302.6,Very Poor,Surat
