PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
28.04,98.31333,1.99,7.8166666,5.68,12.41,1.45,0.14333333,38.73,0.69666666,8.786667,35.68,64.96333,1.1366667,265.48334,463.23334,,98.3,Satisfactory,Thane
28.5575,94.6425,2.905,9.5025,7.295,14.1975,1.4525,0.1225,38.565,0.6325,8.035,35.2275,66.1375,0.875,257.5925,244.125,,94.7,Satisfactory,Thane
25.335,87.4775,1.805,7.5425,5.39,12.18,1.55,0.1475,38.9275,0.6925,8.28,33.8575,69.405,0.98,255.445,83.875,,87.7,Satisfactory,Thane
21.26,88.815,3.2375,8.4225,6.9975,12.445,1.8925,0.1325,32.1075,0.7175,7.88,33.185,71.905,0.88,249.165,11.575,,89.0,Satisfactory,Thane
24.93,79.88,2.77,9.4425,7.1525,12.545,1.6875,0.1875,31.5075,0.7625,9.075,32.3675,74.8375,1.01,258.1225,0.0,,80.3,Satisfactory,Thane
30.0225,75.7625,0.9725,14.13,8.1625,13.9325,1.795,0.2675,22.8175,1.1275,10.545,32.08,76.1425,0.575,233.7225,0.0,,76.2,Satisfactory,Thane
29.1925,68.8925,4.1275,17.5175,12.4625,15.605,1.7175,0.2775,17.675,1.38,12.85,31.89,76.1175,0.4925,210.42,0.0,,69.5,Satisfactory,Thane
21.1375,64.4525,4.3725,23.2325,15.645,18.345,1.9575,0.2675,8.5675,1.39,15.805,31.695,76.99,0.51,186.4975,0.0,,65.2,Satisfactory,Thane
17.32,62.94,3.28,22.08,14.17,17.67,1.75,0.22,9.03,1.41,16.86,31.67,77.43,0.42,158.3,0.0,,63.7,Satisfactory,Thane
17.32,62.94,3.28,22.08,14.17,17.67,1.75,0.22,9.03,1.41,16.86,31.67,77.43,0.42,158.3,0.0,,63.7,Satisfactory,Thane
18.03591,61.764244,3.3398485,21.041363,13.675303,17.288939,1.6537879,0.21848485,11.068636,1.3440909,15.979697,31.803333,76.76561,0.44727272,167.4,9.462121,,62.5,Satisfactory,Thane
19.181364,59.88303,3.435606,19.379545,12.883788,16.679243,1.4998485,0.21606061,14.330455,1.2386364,14.571212,32.016666,75.702576,0.4909091,181.96,24.601515,,60.7,Satisfactory,Thane
20.326818,58.00182,3.5313637,17.717728,12.092273,16.069546,1.3459091,0.21363637,17.592272,1.1331818,13.162727,32.23,74.63955,0.5345455,196.52,39.74091,,58.8,Satisfactory,Thane
21.472273,56.120605,3.6271212,16.055908,11.300757,15.459848,1.1919698,0.21121213,20.854092,1.0277272,11.754243,32.443333,73.576515,0.5781818,211.08,54.880302,,57.0,Satisfactory,Thane
22.617727,54.239395,3.7228787,14.394091,10.509242,14.850151,1.0380303,0.20878787,24.11591,0.92227274,10.3457575,32.656666,72.51348,0.6218182,225.64,70.0197,,55.2,Satisfactory,Thane
23.763182,52.35818,3.8186364,12.732273,9.717728,14.240455,0.8840909,0.20636363,27.377728,0.8168182,8.937273,32.87,71.450455,0.66545457,240.2,85.15909,,53.3,Satisfactory,Thane
25.8025,48.51,3.88,9.56,8.1075,12.625,0.63,0.25,35.77,0.545,5.675,34.0475,66.8775,0.69,270.35,160.475,,48.5,Good,Thane
