PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,147.0,1.2,33.2,34.4,22.1,16.8,1.2,32.3,7.8,,,19.7,1.4,93.5,514.1,,132.0,Moderate,Vapi
43.0,118.8,0.85,34.075,35.0,21.725,15.3,1.05,30.425,5.425,,,19.25,1.35,92.3,471.3,,113.4,Moderate,Vapi
67.0,154.9,1.625,41.325,43.025,31.0,14.475,0.975,23.95,2.95,,,15.275,1.325,103.475,377.45,,137.2,Moderate,Vapi
46.0,139.475,3.325,42.55,45.9,30.375,17.65,0.825,17.225,1.725,,,14.125,1.025,99.325,240.45,,127.1,Moderate,Vapi
44.0,128.3,8.575,50.95,59.55,23.725,19.425,0.975,17.025,1.55,,,21.85,0.925,87.325,98.225,,119.7,Moderate,Vapi
57.0,142.55,6.825,53.325,60.175,18.7,17.675,1.125,15.65,1.65,,,31.825,0.55,82.0,27.825,,129.1,Moderate,Vapi
77.0,187.675,12.375,62.725,75.175,15.975,39.55,1.45,8.925,1.95,,,37.65,0.5,81.9,18.45,,158.9,Moderate,Vapi
107.0,222.025,19.9,53.05,73.0,17.55,17.1,1.55,4.6,2.45,,,44.875,0.175,240.975,18.725,,257.1,Poor,Vapi
145.0,228.825,20.225,44.55,64.8,23.075,12.6,1.8,4.075,3.3,,,49.575,0.2,290.9,18.95,,320.0,Very Poor,Vapi
210.0,327.125,25.375,39.15,64.6,26.85,10.85,1.925,4.5,4.4,,,54.1,0.125,312.3,18.725,,369.5,Very Poor,Vapi
198.0,295.0,34.4,27.2,61.65,22.675,8.025,1.925,4.05,5.375,,,59.725,0.175,301.175,19.05,,360.4,Very Poor,Vapi
131.0,218.25,31.9,20.025,52.0,23.15,7.425,1.775,4.125,5.2,,,57.875,0.1,250.925,18.725,,309.4,Very Poor,Vapi
132.0,217.925,29.8,17.65,47.475,20.55,6.85,1.725,3.65,5.0,,,57.475,0.15,313.0,18.95,,310.1,Very Poor,Vapi
139.0,201.475,36.875,14.875,51.775,18.475,5.975,1.925,3.625,5.05,,,58.85,0.125,111.375,18.75,,315.5,Very Poor,Vapi
166.0,251.5,48.9,22.7,71.675,19.55,11.975,1.8,3.65,5.075,,,58.525,0.375,84.0,19.3,,336.0,Very Poor,Vapi
160.0,231.625,51.8,18.05,69.875,23.3,11.675,1.775,3.7,4.575,,,58.275,0.15,215.8,18.9,,331.5,Very Poor,Vapi
161.0,254.3,62.125,14.45,76.6,19.7,9.3,1.675,3.6,4.65,,,65.6,0.25,283.05,18.675,,332.2,Very Poor,Vapi
175.0,256.925,69.9,14.125,84.05,19.6,15.925,2.075,4.15,5.575,,,57.75,0.2,289.15,18.65,,342.9,Very Poor,Vapi
335.0,397.875,64.125,14.1,78.275,21.8,13.95,2.175,3.875,7.425,,,59.65,0.175,283.775,31.15,,434.7,Severe,Vapi
213.0,437.925,55.425,19.15,74.6,23.3,16.15,2.275,4.4,7.55,,,58.525,0.2,313.725,79.65,,405.6,Severe,Vapi
199.0,296.175,34.25,27.35,61.6,19.3,23.55,2.1,4.65,6.925,,,47.925,0.275,305.15,138.975,,361.2,Very Poor,Vapi
214.0,301.7,22.675,50.25,72.975,21.125,68.4,2.1,6.825,6.2,,,31.05,0.375,242.7,248.825,,372.6,Very Poor,Vapi
180.0,305.875,11.2,63.75,74.975,28.675,45.775,1.65,12.15,6.1,,,27.025,0.75,134.375,367.3,,346.7,Very Poor,Vapi
82.0,202.025,3.9,55.525,59.475,34.325,30.25,1.425,22.425,4.2,,,28.325,1.0,111.725,346.525,,173.6,Moderate,Vapi
90.0,196.075,2.05,47.2,49.3,30.725,28.075,1.35,27.625,2.65,,,28.15,0.95,92.35,417.7,,200.0,Moderate,Vapi
91.0,172.675,1.275,40.75,42.1,27.7,27.775,1.125,31.9,2.1,,,27.65,1.125,96.65,363.875,,204.3,Poor,Vapi
95.0,173.925,1.1,39.925,41.1,28.5,21.75,1.125,29.875,1.9,,,30.975,1.375,99.475,334.55,,217.5,Poor,Vapi
78.0,150.675,0.9,33.55,34.5,26.025,22.0,1.0,24.625,1.75,,,39.1,1.3,93.75,189.875,,160.4,Moderate,Vapi
61.0,150.95,2.775,37.325,40.2,24.75,15.275,0.975,19.025,1.325,,,44.65,0.9,88.1,93.925,,134.6,Moderate,Vapi
64.0,151.0,5.55,39.025,44.6,20.475,21.45,0.975,13.35,0.925,,,46.125,0.5,82.075,27.65,,134.7,Moderate,Vapi
71.0,155.85,8.65,42.3,50.95,16.825,24.3,1.15,8.35,1.075,,,49.975,0.45,71.15,18.775,,137.9,Moderate,Vapi
73.0,167.65,10.7,42.375,53.15,15.675,20.15,0.975,7.925,1.175,,,53.075,0.35,123.2,18.675,,145.6,Moderate,Vapi
116.0,169.925,9.95,26.025,36.025,20.675,9.975,0.875,7.4,1.325,,,57.45,0.175,309.65,18.875,,286.8,Poor,Vapi
64.0,121.4,10.8,21.475,32.3,22.275,6.1,0.975,7.275,1.3,,,60.775,0.175,309.875,19.075,,115.1,Moderate,Vapi
80.0,123.875,13.225,19.975,33.225,22.525,5.025,1.025,6.125,1.3,,,64.075,0.125,321.775,18.6,,167.0,Moderate,Vapi
95.0,142.425,13.775,17.125,30.925,23.5,4.625,0.925,5.5,1.525,,,68.25,0.15,304.0,19.15,,217.5,Poor,Vapi
86.0,127.45,14.375,18.25,32.675,23.7,4.25,1.25,5.275,1.6,,,69.625,0.175,325.875,19.0,,186.8,Moderate,Vapi
113.0,156.125,16.625,19.3,35.95,23.45,5.575,1.025,5.3,1.7,,,68.95,0.175,328.7,18.875,,276.9,Poor,Vapi
150.0,191.0,18.625,20.1,38.75,26.925,6.65,1.15,5.525,1.925,,,69.55,0.125,248.775,18.875,,323.8,Very Poor,Vapi
121.0,171.575,39.8,17.0,56.825,20.65,6.6,1.2,4.85,2.35,,,70.475,0.125,272.25,18.95,,301.8,Very Poor,Vapi
130.0,177.8,38.025,15.525,53.575,21.45,6.175,1.15,4.85,2.725,,,70.95,0.1,246.775,18.85,,308.6,Very Poor,Vapi
146.0,186.725,34.5,14.575,49.1,22.45,5.95,1.175,5.05,2.75,,,71.25,0.1,283.025,18.775,,320.8,Very Poor,Vapi
175.0,227.8,41.625,15.1,56.75,20.325,6.625,1.475,5.225,3.45,,,72.125,0.1,276.575,33.075,,342.9,Very Poor,Vapi
244.0,330.025,60.4,20.65,81.125,17.075,14.275,1.925,5.975,5.425,,,67.35,0.15,301.85,84.45,,395.4,Very Poor,Vapi
448.0,549.65,49.175,34.475,83.675,15.925,60.125,2.1,7.375,10.275,,,51.0,0.7,197.575,135.975,,479.4,Severe,Vapi
156.0,256.75,16.2,43.6,59.875,16.9,51.85,1.675,11.875,9.65,,,46.85,1.025,184.475,278.2,,328.4,Very Poor,Vapi
80.0,149.85,4.95,37.95,42.925,21.875,34.2,1.4,16.75,7.5,,,42.925,0.95,176.55,373.375,,167.0,Moderate,Vapi
85.0,155.725,2.75,32.35,35.15,24.0,21.85,1.175,18.25,7.175,,,36.5,0.575,124.5,530.875,,183.5,Moderate,Vapi
67.0,120.05,2.125,32.7,34.825,25.025,22.05,0.95,23.95,5.05,,,37.25,0.925,107.575,521.6,,124.1,Moderate,Vapi
67.0,119.0,2.3,37.8,40.1,26.4,23.0,0.9,26.2,4.3,,,37.6,1.0,113.2,510.6,,124.1,Moderate,Vapi
67.0,119.0,2.3,37.8,40.1,26.4,23.0,0.9,26.2,4.3,,,37.6,1.0,113.2,510.6,,124.1,Moderate,Vapi
67.92105,121.0,2.4435644,37.703465,40.14703,26.783663,22.805264,0.89736843,26.089474,4.2236843,,,37.642105,1.0052632,112.75263,507.08948,,127.1,Moderate,Vapi
69.39474,124.2,2.6732674,37.54901,40.22228,27.397524,22.493685,0.8931579,25.912632,4.1015787,,,37.709473,1.0136842,112.03684,501.47263,,132.0,Moderate,Vapi
70.86842,127.4,2.9029703,37.394554,40.297523,28.011387,22.182106,0.88894737,25.73579,3.9794736,,,37.77684,1.0221052,111.32105,495.8558,,136.9,Moderate,Vapi
72.3421,130.6,3.1326733,37.2401,40.372772,28.625248,21.870527,0.88473684,25.558947,3.8573685,,,37.84421,1.0305263,110.60526,490.23895,,141.7,Moderate,Vapi
73.81579,133.8,3.3623762,37.085644,40.44802,29.239109,21.558947,0.8805263,25.382105,3.735263,,,37.91158,1.0389473,109.88947,484.6221,,146.6,Moderate,Vapi
75.289474,137.0,3.5920792,36.931187,40.523266,29.85297,21.247368,0.8763158,25.205263,3.613158,,,37.978947,1.0473684,109.17368,479.00525,,151.5,Moderate,Vapi
102.0,195.0,,,,,15.1,0.9,22.65,1.4,,,39.6,1.3,92.75,360.6,,240.6,Poor,Vapi
82.0,174.0,,,,,11.55,0.875,20.4,1.225,,,38.0,1.275,94.7,256.625,,173.6,Moderate,Vapi
69.0,150.0,6.8,33.125,39.95,43.55,14.45,0.925,19.525,0.95,,,38.25,1.0,91.55,106.8,,134.0,Moderate,Vapi
67.0,149.0,7.85,44.275,52.225,42.85,12.5,0.95,13.65,0.825,,,50.45,0.775,81.275,28.65,,133.3,Moderate,Vapi
76.0,192.0,7.8,43.7,51.6,42.7,6.675,1.075,4.85,0.825,,,61.975,0.3,86.5,18.925,,161.7,Moderate,Vapi
96.0,266.0,9.645,43.3895,53.133,42.6985,5.8,1.15,2.975,0.925,,,68.175,0.225,241.15,18.925,,220.8,Poor,Vapi
80.0,365.0,18.87,41.837,60.798,42.691,3.5,0.975,2.425,1.225,,,72.05,0.15,298.35,18.85,,319.6,Very Poor,Vapi
88.0,156.0,28.71,40.181,68.974,42.683,3.55,1.15,2.125,1.4,,,72.225,0.125,303.55,18.9,,193.4,Moderate,Vapi
156.0,223.0,38.55,38.525,77.15,42.675,3.8,1.3,1.65,2.0,,,74.725,0.125,239.375,18.925,,328.4,Very Poor,Vapi
156.0,226.0,48.39,36.869,85.326,42.667,3.975,1.2,1.6,2.775,,,77.4,0.25,293.075,18.925,,328.4,Very Poor,Vapi
122.0,169.0,58.23,35.213,93.502,42.659,3.825,1.275,1.825,2.7,,,77.5,0.225,260.925,18.925,,302.5,Very Poor,Vapi
139.0,195.0,65.61,33.971,99.634,42.653,5.9,1.4,1.525,3.475,,,71.625,0.25,257.6,18.775,,315.5,Very Poor,Vapi
187.0,258.0,,,,,5.75,1.5,1.95,5.75,,,72.4,0.25,318.425,18.85,,352.0,Very Poor,Vapi
175.0,226.0,,,,,5.225,1.475,1.675,5.95,,,76.775,0.125,279.75,18.85,,342.9,Very Poor,Vapi
150.0,207.0,,,,,5.8,1.575,1.775,5.175,,,79.175,0.1,309.175,18.8,,323.8,Very Poor,Vapi
169.0,209.0,,,,,6.15,1.575,1.875,4.625,,,80.0,0.125,260.875,18.9,,338.3,Very Poor,Vapi
289.0,349.0,,,,,6.475,2.075,1.8,6.2,,,79.7,0.225,309.95,35.65,,416.4,Severe,Vapi
299.0,358.0,130.8,23.0,153.8,42.6,10.375,2.125,2.0,7.75,,,76.825,0.325,331.025,81.225,,420.4,Severe,Vapi
219.0,302.0,20.9,27.1,48.05,40.1,21.9,1.85,2.65,6.75,,,55.1,0.175,312.775,119.025,,376.4,Very Poor,Vapi
156.0,208.0,20.375,50.55,70.925,46.425,88.5,1.8,6.9,4.9,,,34.4,0.35,204.5,276.95,,328.4,Very Poor,Vapi
162.0,281.0,8.25,44.6,52.875,34.225,57.0,1.575,18.325,4.475,,,24.725,1.05,193.25,432.35,,333.0,Very Poor,Vapi
59.0,131.0,4.6,32.55,37.25,26.7,22.25,1.125,19.3,2.85,,,21.5,0.875,200.475,573.025,,121.5,Moderate,Vapi
46.0,110.0,3.775,28.35,32.175,25.375,16.575,0.725,21.975,3.3,,,21.775,0.8,150.2,556.4,,107.6,Moderate,Vapi
49.0,106.0,3.2,36.125,39.375,35.8,17.5,0.675,28.05,2.525,,,30.225,1.5,106.05,478.95,,105.0,Moderate,Vapi
80.0,167.0,2.35,34.9,37.325,30.175,25.95,0.6,36.0,1.325,,,35.675,1.725,98.025,372.0,,167.0,Moderate,Vapi
111.0,193.0,3.175,35.15,38.425,27.4,17.125,0.575,34.925,1.15,,,37.15,1.25,94.625,246.45,,270.3,Poor,Vapi
91.0,164.0,4.25,35.825,40.1,26.525,15.175,0.5,26.175,1.05,,,45.1,1.175,95.025,99.3,,204.3,Poor,Vapi
82.0,160.0,5.675,46.025,51.75,41.325,20.8,0.55,25.225,1.025,,,45.6,1.0,107.775,28.2,,173.6,Moderate,Vapi
102.0,195.0,8.425,58.3,66.75,57.275,15.65,0.45,15.575,1.325,,,45.425,0.625,105.175,18.85,,240.6,Poor,Vapi
103.0,208.0,12.3,61.5,73.825,58.075,18.2,0.525,8.225,2.65,,,49.75,0.35,80.425,18.85,,243.9,Poor,Vapi
103.0,208.0,12.8,61.3,74.1,57.3,18.5,0.5,7.4,3.0,,,49.9,0.3,72.5,18.9,,243.9,Poor,Vapi
105.25,202.0,17.015,56.455,73.485,56.175,16.775,0.545,6.545,2.85,,,52.675,0.27,114.8,18.87,,251.3,Poor,Vapi
115.75,174.0,34.135,33.17,67.365,50.6,8.65,0.83,2.605,2.2,,,65.95,0.13,294.0,18.78,,286.0,Poor,Vapi
152.0,243.0,34.5,28.4,62.975,54.2,7.2,0.95,1.85,2.625,,,65.175,0.125,176.85,18.975,,325.4,Very Poor,Vapi
154.0,243.0,43.2,26.1,69.375,50.475,8.25,1.1,1.725,3.8,,,55.025,0.225,192.3,18.825,,326.9,Very Poor,Vapi
125.0,197.0,45.6,29.0,74.575,48.225,31.275,1.15,1.7,4.025,,,48.4,0.4,182.725,19.075,,304.8,Very Poor,Vapi
138.0,202.0,45.6,38.45,84.1,48.875,62.8,1.175,2.05,3.95,,,45.3,0.6,179.9,18.975,,314.7,Very Poor,Vapi
145.0,228.0,42.8,45.775,88.625,50.375,71.925,1.2,2.05,3.8,,,46.925,0.5,203.875,18.85,,320.0,Very Poor,Vapi
154.0,224.0,42.45,46.375,88.85,53.4,59.775,1.375,2.05,3.5,,,47.35,0.425,184.225,18.775,,326.9,Very Poor,Vapi
157.0,235.0,49.7,31.55,81.325,47.85,18.625,1.4,1.6,3.925,,,60.25,0.2,292.175,19.025,,329.2,Very Poor,Vapi
185.0,249.0,43.05,27.925,71.05,47.875,9.3,1.5,2.1,5.775,,,71.675,0.15,309.0,34.825,,350.5,Very Poor,Vapi
269.0,318.0,35.9,30.825,66.775,50.225,21.25,1.875,2.55,8.8,,,65.975,0.15,293.375,81.0,,408.5,Severe,Vapi
240.0,296.0,26.425,37.05,63.525,47.2,57.975,1.75,6.975,8.175,,,45.975,0.25,294.675,117.575,,392.4,Very Poor,Vapi
195.0,294.0,16.625,73.275,89.975,46.95,115.275,1.675,17.7,8.025,,,32.975,0.35,132.475,286.275,,358.1,Very Poor,Vapi
282.0,429.0,8.875,63.55,72.475,43.55,85.0,1.55,25.725,8.075,,,26.4,0.3,51.525,426.775,,413.7,Severe,Vapi
151.0,250.0,5.325,55.175,60.55,40.35,53.6,1.175,36.175,6.775,,,24.325,0.7,92.175,522.65,,324.6,Very Poor,Vapi
107.0,200.0,3.825,39.9,43.775,37.35,23.475,1.05,39.275,4.7,,,28.45,1.225,101.55,529.7,,257.1,Poor,Vapi
91.0,181.0,3.7,35.775,39.5,34.1,27.775,0.8,47.375,2.75,,,27.275,1.45,98.925,481.225,,204.3,Poor,Vapi
101.0,161.0,5.5,41.35,46.925,43.825,23.65,0.875,44.125,1.825,,,25.95,1.35,96.725,386.625,,237.3,Poor,Vapi
79.0,154.0,5.125,38.7,43.9,39.4,18.475,0.6,38.7,1.45,,,27.275,1.35,91.175,253.05,,163.7,Moderate,Vapi
63.0,126.0,5.975,44.475,50.525,58.4,16.375,0.65,31.475,1.125,,,29.75,1.05,108.15,103.25,,118.2,Moderate,Vapi
81.0,152.0,8.2,62.975,71.225,90.85,26.175,0.575,25.475,1.325,,,31.95,1.0,114.175,28.9,,170.3,Moderate,Vapi
98.0,190.0,11.475,64.35,75.9,86.575,16.9,0.625,10.075,3.175,,,38.95,0.275,153.95,18.925,,227.4,Poor,Vapi
87.0,182.0,14.8,59.925,74.8,83.0,13.525,0.525,5.95,2.45,,,46.975,0.15,285.375,18.725,,190.1,Moderate,Vapi
83.0,132.0,16.65,44.675,61.375,64.3,12.55,0.6,3.775,4.1,,,50.925,0.15,274.05,18.725,,176.9,Moderate,Vapi
107.0,163.0,18.025,36.3,54.375,56.65,10.225,0.725,3.225,2.65,,,58.2,0.15,309.55,18.625,,257.1,Poor,Vapi
112.0,166.0,18.925,31.275,50.25,51.2,7.85,0.825,2.75,2.75,,,61.8,0.225,260.925,18.75,,273.6,Poor,Vapi
114.0,166.0,29.125,40.7,69.925,52.075,22.35,1.0,2.25,3.025,,,55.525,0.275,96.45,18.8,,280.2,Poor,Vapi
120.0,213.0,28.775,36.9,65.7,50.55,13.45,0.95,2.225,3.125,,,60.075,0.15,83.35,18.85,,300.0,Poor,Vapi
86.0,170.0,29.475,35.0,64.5,47.25,8.925,1.0,1.85,3.725,,,67.55,0.2,247.975,18.85,,186.8,Moderate,Vapi
88.0,128.0,26.6,31.9,58.525,44.7,7.8,1.05,2.15,3.825,,,70.825,0.15,316.225,18.7,,193.4,Moderate,Vapi
114.0,170.0,23.525,28.45,52.075,42.925,7.3,0.975,2.075,3.55,,,71.5,0.1,305.875,18.75,,280.2,Poor,Vapi
