PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
168.75,304.75,5.15,47.35,29.375,36.55,15.9,1.29,31.4,,,12.725,77.75,0.7,208.0,12.75,709.0,338.1,Very Poor,bhopal
150.5,264.25,4.85,46.425,28.625,36.925,17.975,1.265,29.075,,,12.6,77.25,0.55,239.0,11.25,709.0,324.2,Very Poor,bhopal
145.75,224.5,3.7,32.35,20.25,37.2,17.85,0.9175,54.45,,,12.65,76.75,0.4,144.0,11.0,709.0,320.6,Very Poor,bhopal
127.5,191.0,2.125,27.9,16.55,34.225,17.7,0.825,57.375,,,12.2,77.75,0.325,295.0,10.75,709.0,306.7,Very Poor,bhopal
127.0,185.25,2.125,29.725,17.525,33.7,20.0,0.8675,54.7,,,11.7,79.75,0.3,112.75,12.75,709.0,306.3,Very Poor,bhopal
122.5,186.0,2.25,33.4,19.6,33.375,24.475,0.875,51.4,,,11.55,80.25,0.3,319.5,9.0,709.0,302.9,Very Poor,bhopal
127.25,188.75,2.2,34.925,20.325,32.95,34.75,0.9525,50.9,,,11.425,80.0,0.35,156.0,9.5,709.0,306.5,Very Poor,bhopal
131.0,201.0,2.875,37.425,22.225,33.575,32.85,1.0575,46.95,,,11.525,79.0,0.475,120.25,28.25,709.0,309.4,Very Poor,bhopal
140.0,215.5,3.875,37.375,23.05,33.675,25.975,1.17,51.975,,,13.45,73.0,0.65,141.5,311.75,709.0,316.2,Very Poor,bhopal
139.75,226.0,3.625,37.1,22.65,34.45,26.45,1.1725,57.075,,,16.375,64.5,0.825,161.0,502.25,709.0,316.0,Very Poor,bhopal
167.25,268.75,5.9,43.5,27.95,40.9,25.8,1.2625,68.25,,,19.55,56.75,0.75,132.5,530.0,709.0,337.0,Very Poor,bhopal
222.0,336.25,3.7,38.6,23.525,39.1,30.475,1.215,95.125,,,20.9,53.0,1.125,154.75,430.25,709.0,378.7,Very Poor,bhopal
130.25,228.0,3.3,36.15,21.9,35.925,47.775,1.055,112.875,,,21.975,51.75,1.2,147.25,416.5,709.25,308.8,Very Poor,bhopal
116.25,194.25,2.0,31.725,18.5,31.075,45.525,0.84,118.825,,,23.25,45.5,1.35,158.5,400.25,710.75,287.6,Poor,bhopal
85.5,149.0,1.35,24.25,14.0,26.75,34.95,0.715,105.475,,,24.0,40.75,1.325,159.75,422.0,710.0,185.2,Moderate,bhopal
73.0,130.0,1.05,25.475,14.45,26.075,36.5,0.8,107.4,,,24.575,41.25,1.0,163.0,405.0,708.0,143.9,Moderate,bhopal
