PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
44.5,92.25,2.825,22.825,14.475,13.425,19.5,0.375,29.95,2.25,9.7,20.525,79.0,0.35,169.5,8.0,754.0,92.4,Satisfactory,vishakhapattanam
58.0,96.0,3.875,16.05,11.7,13.075,17.975,0.345,32.625,2.15,7.875,20.025,79.75,0.4,109.5,8.0,754.0,96.7,Satisfactory,vishakhapattanam
48.0,79.5,3.575,14.05,10.4,12.75,17.2,0.35,33.8,2.05,5.45,19.725,80.5,0.325,132.25,8.0,753.0,80.4,Satisfactory,vishakhapattanam
51.5,84.25,3.9,14.95,11.125,12.9,17.375,0.3675,37.15,2.05,3.925,19.525,81.0,0.35,119.5,8.0,753.0,86.1,Satisfactory,vishakhapattanam
52.75,85.75,3.625,14.6,10.725,12.475,17.5,0.355,35.725,2.1,4.175,19.35,81.0,0.4,127.5,8.0,753.0,88.2,Satisfactory,vishakhapattanam
51.5,91.25,3.375,15.5,10.975,12.325,17.475,0.355,34.925,2.15,3.6,19.35,80.5,1.125,109.25,8.0,753.25,91.4,Satisfactory,vishakhapattanam
53.0,100.0,4.525,26.225,17.65,10.8,17.75,0.4175,32.2,2.05,2.675,19.45,79.0,2.1,116.25,11.25,754.0,100.0,Satisfactory,vishakhapattanam
62.25,98.5,6.575,31.65,22.2,11.425,18.025,0.5125,29.025,2.25,3.6,20.925,75.75,1.825,131.25,77.75,754.75,108.4,Moderate,vishakhapattanam
61.75,102.75,7.225,27.45,20.475,11.125,18.7,0.5475,30.35,2.325,3.475,24.05,69.75,1.075,132.25,191.75,755.0,106.8,Moderate,vishakhapattanam
57.5,102.0,5.875,25.025,18.075,13.075,20.4,0.57,30.125,2.45,4.425,25.575,66.5,1.225,130.25,282.25,755.0,102.3,Moderate,vishakhapattanam
55.25,104.5,5.525,21.675,16.0,11.425,19.625,2.1525,33.475,2.625,8.05,26.525,66.0,1.275,120.0,339.75,754.75,104.0,Moderate,vishakhapattanam
55.75,107.75,6.425,19.725,15.75,10.725,20.1,0.4925,26.5,2.275,9.325,26.675,64.0,2.15,117.0,398.75,754.0,106.1,Moderate,vishakhapattanam
62.25,94.0,12.425,20.725,21.95,9.175,20.775,0.3725,35.5,2.1,9.725,26.975,63.0,1.85,116.25,427.25,753.25,108.4,Moderate,vishakhapattanam
55.5,89.75,5.075,16.325,12.775,11.925,18.6,0.395,39.925,2.175,7.375,26.45,65.25,2.325,118.0,371.75,752.5,92.6,Satisfactory,vishakhapattanam
51.0,86.0,4.25,13.05,10.375,12.9,19.425,0.375,44.675,1.95,5.925,26.025,66.75,2.75,118.0,316.5,752.0,86.3,Satisfactory,vishakhapattanam
52.0,88.0,4.0,12.4,9.875,12.7,18.75,0.395,43.075,1.65,4.4,25.425,69.0,2.4,121.25,195.25,752.0,88.2,Satisfactory,vishakhapattanam
57.0,92.0,3.175,18.475,12.4,11.15,17.675,0.4925,45.225,1.8,2.875,24.175,72.75,1.575,110.5,69.5,752.0,95.1,Satisfactory,vishakhapattanam
61.0,104.0,4.3,25.8,17.175,10.95,17.725,0.59,41.175,2.25,6.2,22.9,76.25,1.2,112.0,10.25,752.0,104.3,Moderate,vishakhapattanam
69.75,115.25,4.6,28.725,18.225,11.35,17.05,0.5675,39.0,3.0,8.275,22.725,77.0,1.15,110.0,8.0,753.0,133.2,Moderate,vishakhapattanam
68.75,113.25,5.0,28.15,19.05,10.6,16.9,0.5875,40.175,2.675,6.525,22.6,77.5,0.85,114.25,8.0,753.5,129.9,Moderate,vishakhapattanam
68.0,114.0,3.875,28.1,18.1,11.225,17.725,0.59,39.675,2.6,6.6,22.575,77.0,0.55,111.5,8.0,754.0,127.4,Moderate,vishakhapattanam
72.25,111.5,4.375,25.775,17.25,11.65,17.225,0.565,40.15,2.475,6.125,22.525,77.0,0.55,106.75,8.0,754.0,141.4,Moderate,vishakhapattanam
66.75,109.5,4.0,17.3,12.45,12.225,16.225,0.4925,43.275,2.2,5.55,22.375,77.0,1.525,113.0,8.0,754.0,123.3,Moderate,vishakhapattanam
66.0,108.0,3.3,10.725,8.325,13.275,15.125,0.3975,37.625,1.775,4.45,22.2,78.0,0.95,129.25,8.0,754.0,120.8,Moderate,vishakhapattanam
66.0,106.25,4.0,15.55,11.5,11.325,15.925,0.4,35.8,1.55,3.925,22.0,78.0,0.425,130.75,8.0,753.5,120.8,Moderate,vishakhapattanam
63.25,106.5,3.45,16.675,11.65,12.45,16.9,0.4425,36.075,2.025,3.5,21.25,78.75,0.3,122.0,8.0,752.75,111.7,Moderate,vishakhapattanam
63.5,104.5,3.6,11.85,9.25,12.425,17.3,0.4075,35.4,2.325,3.925,20.625,79.5,0.375,117.75,8.0,752.0,112.6,Moderate,vishakhapattanam
63.25,104.75,3.175,11.575,8.725,12.025,19.0,0.41,39.7,2.325,6.875,20.275,79.0,0.35,124.75,8.0,752.0,111.7,Moderate,vishakhapattanam
68.5,110.0,2.55,15.775,10.45,11.75,21.375,0.46,39.475,2.575,4.075,20.0,79.0,0.3,145.5,8.0,752.0,129.0,Moderate,vishakhapattanam
72.25,110.75,7.5,40.4,27.625,9.975,20.8,0.52,28.85,2.275,2.8,19.7,79.0,0.3,270.25,8.0,752.5,141.4,Moderate,vishakhapattanam
