city,group,feature,miss_pct,n_nonnull
Ahmedabad,same_t_poll,PM2.5 (µg/m³),0.0266,27485
Ahmedabad,same_t_poll,PM10 (µg/m³),0.0295,27402
Ahmedabad,same_t_poll,NO (µg/m³),0.0942,25576
Ahmedabad,same_t_poll,NO2 (µg/m³),0.0952,25548
Ahmedabad,same_t_poll,NOx (ppb),0.0932,25603
Ahmedabad,same_t_poll,NH3 (µg/m³),0.1193,24867
Ahmedabad,same_t_poll,SO2 (µg/m³),0.0157,27794
Ahmedabad,same_t_poll,CO (mg/m³),0.0664,26361
Ahmedabad,same_t_poll,Ozone (µg/m³),0.115,24988
Ahmedabad,same_t_poll,Benzene (µg/m³),0.4424,15745
Ahmedabad,same_t_poll,Toluene (µg/m³),0.4429,15731
Ahmedabad,meteorological,AT (°C),0.6966,8567
Ahmedabad,meteorological,RH (%),0.0227,27596
Ahmedabad,meteorological,WS (m/s),0.0067,28047
Ahmedabad,meteorological,WD (deg),0.0198,27677
Ahmedabad,meteorological,SR (W/mt2),0.9888,315
Ahmedabad,meteorological,BP (mmHg),0.9888,315
Ahmedabad,time,hour,0.0,28236
Ahmedabad,time,day_of_week,0.0,28236
Ahmedabad,time,month,0.0,28236
Ahmedabad,time,day_of_year,0.0,28236
Ahmedabad,time,is_weekend,0.0,28236
Ahmedabad,time,season,0.0,28236
Ahmedabad,time,hour_sin,0.0,28236
Ahmedabad,time,hour_cos,0.0,28236
Ahmedabad,time,month_sin,0.0,28236
Ahmedabad,time,month_cos,0.0,28236
Ahmedabad,time,dow_sin,0.0,28236
Ahmedabad,time,dow_cos,0.0,28236
Ahmedabad,interaction,PM25_PM10_ratio,0.0299,27392
Ahmedabad,interaction,NOx_proxy,0.0957,25534
Ahmedabad,interaction,CO_PM25_product,0.0928,25615
Ahmedabad,interaction,SO2_NO2_sum,0.1031,25324
Ahmedabad,interaction,wind_u,0.0198,27677
Ahmedabad,interaction,wind_v,0.0198,27677
Chennai,same_t_poll,PM2.5 (µg/m³),0.0213,43176
Chennai,same_t_poll,PM10 (µg/m³),0.0862,40312
Chennai,same_t_poll,NO (µg/m³),0.0227,43114
Chennai,same_t_poll,NO2 (µg/m³),0.0224,43129
Chennai,same_t_poll,NOx (ppb),0.0217,43158
Chennai,same_t_poll,NH3 (µg/m³),0.0897,40161
Chennai,same_t_poll,SO2 (µg/m³),0.0358,42536
Chennai,same_t_poll,CO (mg/m³),0.0012,44063
Chennai,same_t_poll,Ozone (µg/m³),0.0126,43559
Chennai,same_t_poll,Benzene (µg/m³),0.0614,41410
Chennai,same_t_poll,Toluene (µg/m³),0.0488,41964
Chennai,meteorological,AT (°C),1.0,0
Chennai,meteorological,RH (%),0.0036,43956
Chennai,meteorological,WS (m/s),0.0059,43858
Chennai,meteorological,WD (deg),0.0059,43858
Chennai,meteorological,SR (W/mt2),0.0862,40316
Chennai,meteorological,BP (mmHg),0.1442,37754
Chennai,time,hour,0.0,44117
Chennai,time,day_of_week,0.0,44117
Chennai,time,month,0.0,44117
Chennai,time,day_of_year,0.0,44117
Chennai,time,is_weekend,0.0,44117
Chennai,time,season,0.0,44117
Chennai,time,hour_sin,0.0,44117
Chennai,time,hour_cos,0.0,44117
Chennai,time,month_sin,0.0,44117
Chennai,time,month_cos,0.0,44117
Chennai,time,dow_sin,0.0,44117
Chennai,time,dow_cos,0.0,44117
Chennai,interaction,PM25_PM10_ratio,0.0953,39912
Chennai,interaction,NOx_proxy,0.0232,43095
Chennai,interaction,CO_PM25_product,0.0224,43128
Chennai,interaction,SO2_NO2_sum,0.0557,41660
Chennai,interaction,wind_u,0.0059,43858
Chennai,interaction,wind_v,0.0059,43858
Delhi_NCR,same_t_poll,PM2.5 (µg/m³),0.0895,70750
Delhi_NCR,same_t_poll,PM10 (µg/m³),0.0889,70799
Delhi_NCR,same_t_poll,NO (µg/m³),0.0152,76520
Delhi_NCR,same_t_poll,NO2 (µg/m³),0.0144,76582
Delhi_NCR,same_t_poll,NOx (ppb),0.0379,74756
Delhi_NCR,same_t_poll,NH3 (µg/m³),0.4835,40136
Delhi_NCR,same_t_poll,SO2 (µg/m³),0.4812,40311
Delhi_NCR,same_t_poll,CO (mg/m³),0.085,71102
Delhi_NCR,same_t_poll,Ozone (µg/m³),0.0076,77111
Delhi_NCR,same_t_poll,Benzene (µg/m³),0.5584,34317
Delhi_NCR,same_t_poll,Toluene (µg/m³),0.7746,17517
Delhi_NCR,meteorological,AT (°C),0.7486,19533
Delhi_NCR,meteorological,RH (%),0.7497,19453
Delhi_NCR,meteorological,WS (m/s),0.7745,17526
Delhi_NCR,meteorological,WD (deg),0.7745,17526
Delhi_NCR,meteorological,SR (W/mt2),0.7515,19311
Delhi_NCR,meteorological,BP (mmHg),0.7507,19370
Delhi_NCR,time,hour,0.0,77704
Delhi_NCR,time,day_of_week,0.0,77704
Delhi_NCR,time,month,0.0,77704
Delhi_NCR,time,day_of_year,0.0,77704
Delhi_NCR,time,is_weekend,0.0,77704
Delhi_NCR,time,season,0.0,77704
Delhi_NCR,time,hour_sin,0.0,77704
Delhi_NCR,time,hour_cos,0.0,77704
Delhi_NCR,time,month_sin,0.0,77704
Delhi_NCR,time,month_cos,0.0,77704
Delhi_NCR,time,dow_sin,0.0,77704
Delhi_NCR,time,dow_cos,0.0,77704
Delhi_NCR,interaction,PM25_PM10_ratio,0.0941,70392
Delhi_NCR,interaction,NOx_proxy,0.0163,76441
Delhi_NCR,interaction,CO_PM25_product,0.0976,70120
Delhi_NCR,interaction,SO2_NO2_sum,0.4906,39581
Delhi_NCR,interaction,wind_u,0.7745,17526
Delhi_NCR,interaction,wind_v,0.7745,17526
GandhiNagar,same_t_poll,PM2.5 (µg/m³),0.0042,58386
GandhiNagar,same_t_poll,PM10 (µg/m³),0.0202,57445
GandhiNagar,same_t_poll,NO (µg/m³),0.0197,57479
GandhiNagar,same_t_poll,NO2 (µg/m³),0.0199,57465
GandhiNagar,same_t_poll,NOx (ppb),0.0193,57502
GandhiNagar,same_t_poll,NH3 (µg/m³),0.0205,57429
GandhiNagar,same_t_poll,SO2 (µg/m³),0.0037,58415
GandhiNagar,same_t_poll,CO (mg/m³),0.0048,58351
GandhiNagar,same_t_poll,Ozone (µg/m³),0.0205,57430
GandhiNagar,same_t_poll,Benzene (µg/m³),0.0066,58243
GandhiNagar,same_t_poll,Toluene (µg/m³),0.0097,58065
GandhiNagar,meteorological,AT (°C),1.0,0
GandhiNagar,meteorological,RH (%),0.0013,58557
GandhiNagar,meteorological,WS (m/s),0.005,58340
GandhiNagar,meteorological,WD (deg),0.0049,58345
GandhiNagar,meteorological,SR (W/mt2),0.0641,54874
GandhiNagar,meteorological,BP (mmHg),1.0,0
GandhiNagar,time,hour,0.0,58632
GandhiNagar,time,day_of_week,0.0,58632
GandhiNagar,time,month,0.0,58632
GandhiNagar,time,day_of_year,0.0,58632
GandhiNagar,time,is_weekend,0.0,58632
GandhiNagar,time,season,0.0,58632
GandhiNagar,time,hour_sin,0.0,58632
GandhiNagar,time,hour_cos,0.0,58632
GandhiNagar,time,month_sin,0.0,58632
GandhiNagar,time,month_cos,0.0,58632
GandhiNagar,time,dow_sin,0.0,58632
GandhiNagar,time,dow_cos,0.0,58632
GandhiNagar,interaction,PM25_PM10_ratio,0.0222,57329
GandhiNagar,interaction,NOx_proxy,0.0205,57431
GandhiNagar,interaction,CO_PM25_product,0.0081,58155
GandhiNagar,interaction,SO2_NO2_sum,0.0225,57314
GandhiNagar,interaction,wind_u,0.0054,58318
GandhiNagar,interaction,wind_v,0.0054,58318
Hyderabad,same_t_poll,PM2.5 (µg/m³),0.2375,83873
Hyderabad,same_t_poll,PM10 (µg/m³),0.2955,77487
Hyderabad,same_t_poll,NO (µg/m³),0.0086,109042
Hyderabad,same_t_poll,NO2 (µg/m³),0.0101,108879
Hyderabad,same_t_poll,NOx (ppb),0.0074,109180
Hyderabad,same_t_poll,NH3 (µg/m³),0.3463,71906
Hyderabad,same_t_poll,SO2 (µg/m³),0.0136,108492
Hyderabad,same_t_poll,CO (mg/m³),0.0176,108059
Hyderabad,same_t_poll,Ozone (µg/m³),0.0158,108252
Hyderabad,same_t_poll,Benzene (µg/m³),0.0392,105682
Hyderabad,same_t_poll,Toluene (µg/m³),0.043,105266
Hyderabad,meteorological,AT (°C),0.2923,77842
Hyderabad,meteorological,RH (%),0.0156,108277
Hyderabad,meteorological,WS (m/s),0.0329,106373
Hyderabad,meteorological,WD (deg),0.0173,108093
