city,model,track,n_test,n_features,R2,MAE,RMSE,train_time_s,inference_time_s
Ahmedabad,Ridge,A_Estimation,4236,80,0.7711,26.519,37.254,0.01,0.0006
Ahmedabad,Random Forest,A_Estimation,4236,80,0.9182,8.591,22.268,72.99,0.0749
Ahmedabad,Gradient Boosting,A_Estimation,4236,80,0.9697,5.384,13.553,123.06,0.013
Ahmedabad,XGBoost,A_Estimation,4236,80,0.9572,7.27,16.112,3.87,0.0127
Chennai,Ridge,A_Estimation,6619,81,0.7423,14.791,17.543,0.01,0.0007
Chennai,Random Forest,A_Estimation,6619,81,0.9996,0.195,0.693,166.54,0.105
Chennai,Gradient Boosting,A_Estimation,6619,81,0.995,1.782,2.437,201.01,0.0211
Chennai,XGBoost,A_Estimation,6619,81,0.9711,1.798,5.876,3.96,0.0182
Delhi_NCR,Ridge,A_Estimation,11657,82,0.9054,27.12,38.698,0.02,0.001
Delhi_NCR,Random Forest,A_Estimation,11657,82,0.9993,0.497,3.36,207.8,0.1858
Delhi_NCR,Gradient Boosting,A_Estimation,11657,82,0.9986,2.686,4.724,283.67,0.0411
Delhi_NCR,XGBoost,A_Estimation,11657,82,0.9988,1.986,4.296,4.4,0.0314
GandhiNagar,Ridge,A_Estimation,8796,80,0.9212,7.1,11.653,0.02,0.0008
GandhiNagar,Random Forest,A_Estimation,8796,80,0.9971,0.434,2.219,224.0,0.1355
GandhiNagar,Gradient Boosting,A_Estimation,8796,80,0.9976,1.072,2.038,283.76,0.0302
GandhiNagar,XGBoost,A_Estimation,8796,80,0.9688,1.773,7.33,4.11,0.0235
Hyderabad,Ridge,A_Estimation,16500,82,0.7291,15.162,19.65,0.03,0.0014
Hyderabad,Random Forest,A_Estimation,16500,82,0.9609,1.379,7.461,305.97,0.2064
Hyderabad,Gradient Boosting,A_Estimation,16500,82,0.9656,3.429,7.0,395.76,0.0589
Hyderabad,XGBoost,A_Estimation,16500,82,0.9563,3.094,7.892,5.51,0.0426
