city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s,train_rows,n_features,epochs,status,n_rows
Ahmedabad,Ridge,A,19765.0,4236.0,32.0,0.7107,31.3,41.88,0.04,0.0005,,,,,
Chennai,Ridge,A,30881.0,6619.0,33.0,0.734,14.58,17.82,0.01,0.0004,,,,,
Delhi_NCR,Ridge,A,54392.0,11657.0,34.0,0.8938,28.83,41.0,0.01,0.0006,,,,,
GandhiNagar,Ridge,A,41042.0,8796.0,32.0,0.9244,6.84,11.41,0.01,0.0005,,,,,
Hyderabad,Ridge,A,76995.0,16500.0,34.0,0.7341,14.93,19.47,0.01,0.0006,,,,,
Indore,Ridge,A,30544.0,6546.0,32.0,0.8603,14.46,26.15,0.0,0.0004,,,,,
Jaipur,Ridge,A,29625.0,6349.0,33.0,0.8121,18.37,26.66,0.0,0.0003,,,,,
Jodhpur,Ridge,A,30330.0,6500.0,33.0,0.866,22.16,33.28,0.01,0.0004,,,,,
Mumbai,Ridge,A,38083.0,8162.0,33.0,0.7887,19.22,28.48,0.01,0.0005,,,,,
Mumbai_suburbs,Ridge,A,15137.0,3245.0,33.0,0.8879,10.92,16.33,0.0,0.0003,,,,,
Nagpur,Ridge,A,56490.0,12105.0,32.0,0.9132,13.44,19.36,0.01,0.0006,,,,,
Pune,Ridge,A,49326.0,10571.0,32.0,0.6253,25.42,50.33,0.01,0.0005,,,,,
Singrauli,Ridge,A,48654.0,10427.0,22.0,0.8704,27.83,38.82,0.01,0.0004,,,,,
Surat,Ridge,A,18302.0,3923.0,30.0,0.8256,20.21,37.3,0.0,0.0003,,,,,
Thane,Ridge,A,14364.0,3079.0,33.0,0.8798,11.1,16.55,0.0,0.0003,,,,,
Vapi,Ridge,A,40799.0,8744.0,31.0,0.8303,24.48,31.59,0.01,0.0005,,,,,
bhopal,Ridge,A,30460.0,6528.0,32.0,0.8416,20.06,31.31,0.0,0.0004,,,,,
vishakhapattanam,Ridge,A,24229.0,5193.0,34.0,0.9492,12.31,19.27,0.0,0.0003,,,,,
Ahmedabad,RandomForest,A,19765.0,4236.0,32.0,0.9227,8.23,21.65,47.33,0.1189,,,,,
Chennai,RandomForest,A,30881.0,6619.0,33.0,0.9997,0.17,0.58,108.34,0.1279,,,,,
Delhi_NCR,RandomForest,A,54392.0,11657.0,34.0,0.9993,0.44,3.25,121.07,0.2956,,,,,
GandhiNagar,RandomForest,A,41042.0,8796.0,32.0,0.9983,0.34,1.73,143.81,0.1981,,,,,
Hyderabad,RandomForest,A,76995.0,16500.0,34.0,0.9634,1.26,7.22,227.34,0.3184,,,,,
Indore,RandomForest,A,30544.0,6546.0,32.0,0.9962,0.96,4.31,84.69,0.1467,,,,,
Jaipur,RandomForest,A,29625.0,6349.0,33.0,0.9575,2.91,12.67,94.01,0.1217,,,,,
Jodhpur,RandomForest,A,30330.0,6500.0,33.0,0.9984,0.53,3.59,84.42,0.1781,,,,,
Mumbai,RandomForest,A,38083.0,8162.0,33.0,0.9855,2.91,7.46,115.86,0.158,,,,,
Mumbai_suburbs,RandomForest,A,15137.0,3245.0,33.0,0.9952,0.62,3.38,41.09,0.0846,,,,,
Nagpur,RandomForest,A,56490.0,12105.0,32.0,0.9981,0.33,2.83,194.35,0.3384,,,,,
Pune,RandomForest,A,49326.0,10571.0,32.0,0.9929,2.36,6.93,140.72,0.148,,,,,
Singrauli,RandomForest,A,48654.0,10427.0,22.0,0.9992,0.59,3.08,77.53,0.2069,,,,,
Surat,RandomForest,A,18302.0,3923.0,30.0,0.9938,1.98,7.03,39.97,0.0746,,,,,
Thane,RandomForest,A,14364.0,3079.0,33.0,0.9971,0.58,2.56,40.24,0.1395,,,,,
Vapi,RandomForest,A,40799.0,8744.0,31.0,0.9942,2.38,5.84,98.38,0.1892,,,,,
bhopal,RandomForest,A,30460.0,6528.0,32.0,0.9849,1.95,9.68,76.26,0.1302,,,,,
vishakhapattanam,RandomForest,A,24229.0,5193.0,34.0,0.9965,1.03,5.07,65.18,0.119,,,,,
Ahmedabad,GradBoost,A,19765.0,4236.0,32.0,0.9696,5.23,13.57,29.72,0.0098,,,,,
Chennai,GradBoost,A,30881.0,6619.0,33.0,0.995,1.79,2.44,50.52,0.0124,,,,,
Delhi_NCR,GradBoost,A,54392.0,11657.0,34.0,0.9986,2.57,4.68,61.86,0.0258,,,,,
GandhiNagar,GradBoost,A,41042.0,8796.0,32.0,0.9982,0.96,1.75,71.31,0.0183,,,,,
Hyderabad,GradBoost,A,76995.0,16500.0,34.0,0.969,3.36,6.65,118.25,0.0363,,,,,
Indore,GradBoost,A,30544.0,6546.0,32.0,0.9954,2.58,4.75,43.48,0.0137,,,,,
Jaipur,GradBoost,A,29625.0,6349.0,33.0,0.9743,4.15,9.85,53.31,0.0149,,,,,
Jodhpur,GradBoost,A,30330.0,6500.0,33.0,0.9987,1.6,3.24,52.19,0.0194,,,,,
Mumbai,GradBoost,A,38083.0,8162.0,33.0,0.986,4.31,7.34,64.08,0.0149,,,,,
Mumbai_suburbs,GradBoost,A,15137.0,3245.0,33.0,0.9938,1.45,3.83,26.18,0.0069,,,,,
Nagpur,GradBoost,A,56490.0,12105.0,32.0,0.9959,2.59,4.19,98.55,0.026,,,,,
Pune,GradBoost,A,49326.0,10571.0,32.0,0.9864,5.87,9.6,76.48,0.0201,,,,,
Singrauli,GradBoost,A,48654.0,10427.0,22.0,0.9981,2.49,4.65,42.3,0.0245,,,,,
Surat,GradBoost,A,18302.0,3923.0,30.0,0.9962,3.51,5.5,26.12,0.0093,,,,,
Thane,GradBoost,A,14364.0,3079.0,33.0,0.9973,1.23,2.47,24.71,0.0066,,,,,
Vapi,GradBoost,A,40799.0,8744.0,31.0,0.9899,5.22,7.7,53.75,0.0182,,,,,
bhopal,GradBoost,A,30460.0,6528.0,32.0,0.9915,2.39,7.24,42.88,0.0146,,,,,
vishakhapattanam,GradBoost,A,24229.0,5193.0,34.0,0.9974,1.71,4.34,36.65,0.0121,,,,,
Ahmedabad,XGBoost,A,19765.0,4236.0,32.0,0.9571,7.06,16.13,1.56,0.0045,,,,,
Chennai,XGBoost,A,30881.0,6619.0,33.0,0.9824,1.74,4.58,1.86,0.014,,,,,
Delhi_NCR,XGBoost,A,54392.0,11657.0,34.0,0.9989,1.9,4.16,2.73,0.0168,,,,,
GandhiNagar,XGBoost,A,41042.0,8796.0,32.0,0.9758,1.45,6.46,2.13,0.0071,,,,,
Hyderabad,XGBoost,A,76995.0,16500.0,34.0,0.9581,2.96,7.72,3.74,0.0204,,,,,
Indore,XGBoost,A,30544.0,6546.0,32.0,0.9964,2.04,4.2,1.99,0.0056,,,,,
Jaipur,XGBoost,A,29625.0,6349.0,33.0,0.9662,3.39,11.3,2.06,0.0054,,,,,
Jodhpur,XGBoost,A,30330.0,6500.0,33.0,0.9985,1.48,3.57,2.1,0.0054,,,,,
Mumbai,XGBoost,A,38083.0,8162.0,33.0,0.9866,4.25,7.17,2.26,0.0069,,,,,
Mumbai_suburbs,XGBoost,A,15137.0,3245.0,33.0,0.9955,1.23,3.27,1.46,0.0043,,,,,
Nagpur,XGBoost,A,56490.0,12105.0,32.0,0.9969,1.67,3.68,2.82,0.0177,,,,,
Pune,XGBoost,A,49326.0,10571.0,32.0,0.9777,5.96,12.29,2.97,0.0081,,,,,
Singrauli,XGBoost,A,48654.0,10427.0,22.0,0.9986,1.87,3.98,2.01,0.0162,,,,,
Surat,XGBoost,A,18302.0,3923.0,30.0,0.9954,2.92,6.04,1.53,0.0122,,,,,
Thane,XGBoost,A,14364.0,3079.0,33.0,0.9952,1.23,3.3,1.43,0.0033,,,,,
Vapi,XGBoost,A,40799.0,8744.0,31.0,0.994,3.87,5.92,2.15,0.0152,,,,,
bhopal,XGBoost,A,30460.0,6528.0,32.0,0.9729,3.82,12.96,1.92,0.0139,,,,,
vishakhapattanam,XGBoost,A,24229.0,5193.0,34.0,0.995,2.11,6.04,1.75,0.0046,,,,,
Ahmedabad,LSTM,A,,,,0.8221,23.08,32.89,141.2,1.724,28236.0,31.0,44.0,ok,
Chennai,LSTM,A,,,,0.5471,16.13,23.27,189.4,2.12,44117.0,32.0,40.0,ok,
Delhi_NCR,LSTM,A,,,,0.915,25.45,36.66,162.0,2.978,77704.0,33.0,19.0,ok,
GandhiNagar,LSTM,A,,,,0.7744,12.01,19.72,197.2,2.406,58632.0,31.0,31.0,ok,
Hyderabad,LSTM,A,,,,0.5692,18.2,24.74,411.7,3.797,109993.0,33.0,34.0,ok,
Indore,LSTM,A,,,,0.8826,15.64,23.99,115.4,2.103,43635.0,31.0,24.0,ok,
Jaipur,LSTM,A,,,,0.7009,20.36,33.69,203.7,2.071,42322.0,32.0,44.0,ok,
Jodhpur,LSTM,A,,,,-0.1041,80.47,95.59,133.7,2.114,43329.0,32.0,28.0,ok,
Mumbai,LSTM,A,,,,0.7314,18.32,32.16,163.4,2.369,54405.0,32.0,28.0,ok,
Mumbai_suburbs,LSTM,A,,,,0.7622,16.86,23.71,88.5,1.57,21625.0,32.0,36.0,ok,
Nagpur,LSTM,A,,,,0.867,15.91,23.96,215.8,2.992,80700.0,31.0,25.0,ok,
Pune,LSTM,A,,,,-0.3061,67.91,93.99,153.1,2.814,70466.0,31.0,20.0,ok,
Singrauli,LSTM,A,,,,0.8246,28.81,45.15,329.5,2.715,69506.0,22.0,45.0,ok,
Surat,LSTM,A,,,,0.635,30.76,54.04,119.4,1.682,26147.0,29.0,40.0,ok,
Thane,LSTM,A,,,,0.7235,18.81,25.12,54.1,1.536,20521.0,32.0,22.0,ok,
Vapi,LSTM,A,,,,0.5393,36.82,51.97,174.6,2.487,58285.0,30.0,27.0,ok,
bhopal,LSTM,A,,,,0.803,21.6,34.94,143.8,2.1,43515.0,31.0,30.0,ok,
vishakhapattanam,LSTM,A,,,,0.8534,19.53,32.81,123.7,1.903,34614.0,33.0,32.0,ok,
Ahmedabad,BiLSTM,A,,,32.0,0.8321,22.25,31.96,277.5,3.328,,,,,28236.0
