city,model,R2,MAE,RMSE,train_rows,n_features,epochs,train_time_s,inference_time_s,status
Ahmedabad,LSTM,0.8221,23.08,32.89,28236,31,44,141.2,1.724,ok
Chennai,LSTM,0.5471,16.13,23.27,44117,32,40,189.4,2.12,ok
Delhi_NCR,LSTM,0.915,25.45,36.66,77704,33,19,162.0,2.978,ok
GandhiNagar,LSTM,0.7744,12.01,19.72,58632,31,31,197.2,2.406,ok
Hyderabad,LSTM,0.5692,18.2,24.74,109993,33,34,411.7,3.797,ok
Indore,LSTM,0.8826,15.64,23.99,43635,31,24,115.4,2.103,ok
Jaipur,LSTM,0.7009,20.36,33.69,42322,32,44,203.7,2.071,ok
Jodhpur,LSTM,-0.1041,80.47,95.59,43329,32,28,133.7,2.114,ok
Mumbai,LSTM,0.7314,18.32,32.16,54405,32,28,163.4,2.369,ok
Mumbai_suburbs,LSTM,0.7622,16.86,23.71,21625,32,36,88.5,1.57,ok
Nagpur,LSTM,0.867,15.91,23.96,80700,31,25,215.8,2.992,ok
Pune,LSTM,-0.3061,67.91,93.99,70466,31,20,153.1,2.814,ok
Singrauli,LSTM,0.8246,28.81,45.15,69506,22,45,329.5,2.715,ok
Surat,LSTM,0.635,30.76,54.04,26147,29,40,119.4,1.682,ok
Thane,LSTM,0.7235,18.81,25.12,20521,32,22,54.1,1.536,ok
Vapi,LSTM,0.5393,36.82,51.97,58285,30,27,174.6,2.487,ok
bhopal,LSTM,0.803,21.6,34.94,43515,31,30,143.8,2.1,ok
vishakhapattanam,LSTM,0.8534,19.53,32.81,34614,33,32,123.7,1.903,ok
