city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,1,RandomForest,B,19764,4236,70,0.7501,26.27,38.92,23.23,0.0434
Ahmedabad,6,RandomForest,B,19761,4235,70,0.4759,41.69,56.38,22.96,0.0429
Ahmedabad,24,RandomForest,B,19748,4233,70,0.4438,44.87,58.08,24.31,0.0428
Chennai,1,RandomForest,B,30881,6618,71,0.6518,9.6,20.39,52.42,0.0633
Chennai,6,RandomForest,B,30877,6618,71,0.2635,15.89,29.65,50.62,0.0532
Chennai,24,RandomForest,B,30865,6615,71,0.1617,15.74,31.64,53.54,0.0633
Delhi_NCR,1,RandomForest,B,54392,11656,72,0.9024,27.23,39.3,59.0,0.1441
Delhi_NCR,6,RandomForest,B,54388,11656,72,0.7873,43.1,58.01,57.24,0.1137
Delhi_NCR,24,RandomForest,B,54376,11652,72,0.7146,50.51,67.2,57.3,0.1138
GandhiNagar,1,RandomForest,B,41041,8796,70,0.6409,16.1,24.87,58.25,0.1037
GandhiNagar,6,RandomForest,B,41038,8795,70,0.3845,22.65,32.57,54.57,0.0937
GandhiNagar,24,RandomForest,B,41025,8792,70,0.3695,22.8,32.96,54.87,0.094
Hyderabad,1,RandomForest,B,76994,16500,72,0.6436,16.79,22.54,91.31,0.144
Hyderabad,6,RandomForest,B,76990,16499,72,0.4418,22.33,28.2,86.89,0.1238
Hyderabad,24,RandomForest,B,76978,16496,72,0.3358,24.48,30.75,94.86,0.1345
Indore,1,RandomForest,B,30543,6546,72,0.8125,18.73,30.28,33.08,0.0742
Indore,6,RandomForest,B,30540,6545,72,0.5896,28.32,44.81,32.22,0.0632
Indore,24,RandomForest,B,30527,6543,72,0.5165,31.71,48.63,33.99,0.0735
Jaipur,1,RandomForest,B,29624,6349,71,0.5049,31.27,43.26,36.92,0.0634
Jaipur,6,RandomForest,B,29621,6348,71,0.3053,33.68,51.25,34.95,0.0633
Jaipur,24,RandomForest,B,29608,6346,71,0.0921,42.79,58.6,35.39,0.0544
Jodhpur,1,RandomForest,B,30329,6500,71,0.4586,48.87,66.89,32.79,0.0737
Jodhpur,6,RandomForest,B,30326,6499,71,0.2576,58.38,78.34,33.53,0.0631
Jodhpur,24,RandomForest,B,30313,6497,71,0.2326,60.76,79.66,32.95,0.0631
Mumbai,1,RandomForest,B,38082,8162,72,0.5968,25.2,39.34,52.4,0.0733
Mumbai,6,RandomForest,B,38079,8161,72,0.1911,38.38,55.73,52.45,0.0635
Mumbai,24,RandomForest,B,38066,8158,72,-0.386,54.85,72.96,51.1,0.0632
Mumbai_suburbs,1,RandomForest,B,15136,3245,71,0.8402,12.56,19.49,17.8,0.0431
Mumbai_suburbs,6,RandomForest,B,15133,3244,71,0.6754,20.63,27.77,17.09,0.0428
Mumbai_suburbs,24,RandomForest,B,15120,3241,71,0.5427,24.46,32.96,18.01,0.0431
Nagpur,1,RandomForest,B,56489,12106,70,0.8624,16.41,24.38,77.58,0.1239
Nagpur,6,RandomForest,B,56485,12105,70,0.6864,26.09,36.8,74.49,0.1141
Nagpur,24,RandomForest,B,56473,12102,70,0.6169,29.4,40.67,78.72,0.1137
Pune,1,RandomForest,B,49325,10571,64,0.4158,43.39,62.85,64.85,0.0633
Pune,6,RandomForest,B,49322,10569,64,0.2203,52.91,72.62,64.0,0.0633
Pune,24,RandomForest,B,49309,10567,64,0.0378,62.35,80.67,67.45,0.063
Singrauli,1,RandomForest,B,48653,10427,64,0.6777,42.29,61.21,50.85,0.1137
Singrauli,6,RandomForest,B,48650,10425,64,0.4803,59.12,77.73,51.47,0.0939
Singrauli,24,RandomForest,B,48637,10423,64,0.4105,62.69,82.79,54.99,0.1035
Surat,1,RandomForest,B,18302,3923,58,0.3555,41.21,71.71,17.95,0.0433
Surat,6,RandomForest,B,18298,3922,58,0.157,53.12,82.01,17.81,0.0427
Surat,24,RandomForest,B,18286,3919,58,0.1321,56.54,83.24,18.08,0.0435
Thane,1,RandomForest,B,14363,3079,71,0.8512,11.32,18.42,15.47,0.0429
Thane,6,RandomForest,B,14360,3078,71,0.6603,19.67,27.83,15.37,0.043
Thane,24,RandomForest,B,14347,3076,71,0.5329,23.35,32.63,16.39,0.043
Vapi,1,RandomForest,B,40798,8744,70,0.5235,36.71,52.95,43.34,0.0732
Vapi,6,RandomForest,B,40795,8743,70,0.4124,43.38,58.8,42.83,0.0631
Vapi,24,RandomForest,B,40782,8740,70,0.3409,45.94,62.27,43.32,0.0635
bhopal,1,RandomForest,B,30459,6528,72,0.8162,21.39,33.72,34.73,0.0737
bhopal,6,RandomForest,B,30456,6527,72,0.6561,31.19,46.14,33.8,0.0632
bhopal,24,RandomForest,B,30443,6525,72,0.6216,33.43,48.4,34.32,0.0634
vishakhapattanam,1,RandomForest,B,24229,5193,72,0.7712,25.65,40.9,26.42,0.063
vishakhapattanam,6,RandomForest,B,24225,5192,72,0.5837,36.09,55.18,27.36,0.0536
vishakhapattanam,24,RandomForest,B,24213,5189,72,0.5179,40.19,59.4,29.27,0.0631
Ahmedabad,1,GradBoost,B,19764,4236,70,0.7398,26.07,39.72,62.23,0.0097
Ahmedabad,6,GradBoost,B,19761,4235,70,0.5268,35.39,53.57,62.39,0.009
Ahmedabad,24,GradBoost,B,19748,4233,70,0.4966,39.52,55.26,62.09,0.0094
Chennai,1,GradBoost,B,30881,6618,71,0.5129,12.89,24.12,104.0,0.0136
Chennai,6,GradBoost,B,30877,6618,71,0.3592,14.05,27.66,103.76,0.0133
Chennai,24,GradBoost,B,30865,6615,71,0.1365,16.0,32.11,103.4,0.0135
Delhi_NCR,1,GradBoost,B,54392,11656,72,0.9024,27.13,39.29,146.26,0.0264
Delhi_NCR,6,GradBoost,B,54388,11656,72,0.7957,41.59,56.86,145.22,0.025
Delhi_NCR,24,GradBoost,B,54376,11652,72,0.7287,47.74,65.52,146.01,0.0254
GandhiNagar,1,GradBoost,B,41041,8796,70,0.6524,15.63,24.47,143.35,0.0199
GandhiNagar,6,GradBoost,B,41038,8795,70,0.413,21.96,31.8,142.58,0.0193
GandhiNagar,24,GradBoost,B,41025,8792,70,0.363,22.61,33.13,143.29,0.0191
Hyderabad,1,GradBoost,B,76994,16500,72,0.6411,16.52,22.62,205.77,0.0367
Hyderabad,6,GradBoost,B,76990,16499,72,0.4615,21.39,27.7,206.28,0.0344
Hyderabad,24,GradBoost,B,76978,16496,72,0.4068,22.77,29.06,205.88,0.0353
Indore,1,GradBoost,B,30543,6546,72,0.8229,18.37,29.43,87.38,0.0161
Indore,6,GradBoost,B,30540,6545,72,0.5941,27.8,44.56,87.4,0.015
Indore,24,GradBoost,B,30527,6543,72,0.5094,30.6,48.99,87.68,0.0155
Jaipur,1,GradBoost,B,29624,6349,71,0.5538,28.3,41.07,107.75,0.0153
Jaipur,6,GradBoost,B,29621,6348,71,0.3134,31.52,50.95,107.51,0.0147
Jaipur,24,GradBoost,B,29608,6346,71,0.0302,41.9,60.57,107.48,0.0149
Jodhpur,1,GradBoost,B,30329,6500,71,0.3763,54.07,71.79,96.69,0.0172
Jodhpur,6,GradBoost,B,30326,6499,71,0.2716,56.63,77.59,97.13,0.0154
Jodhpur,24,GradBoost,B,30313,6497,71,0.1266,67.86,84.98,96.88,0.0165
Mumbai,1,GradBoost,B,38082,8162,72,0.5014,26.42,43.75,134.02,0.0173
Mumbai,6,GradBoost,B,38079,8161,72,0.2481,33.97,53.73,134.22,0.017
Mumbai,24,GradBoost,B,38066,8158,72,-0.3156,48.78,71.08,135.18,0.0169
Mumbai_suburbs,1,GradBoost,B,15136,3245,71,0.838,12.28,19.62,50.14,0.0073
Mumbai_suburbs,6,GradBoost,B,15133,3244,71,0.6535,21.17,28.69,50.05,0.0068
Mumbai_suburbs,24,GradBoost,B,15120,3241,71,0.5024,26.13,34.38,50.51,0.0068
Nagpur,1,GradBoost,B,56489,12106,70,0.8635,16.23,24.28,202.99,0.0274
Nagpur,6,GradBoost,B,56485,12105,70,0.6988,24.86,36.06,202.82,0.0269
Nagpur,24,GradBoost,B,56473,12102,70,0.6451,27.71,39.14,202.47,0.0266
Pune,1,GradBoost,B,49325,10571,64,0.3695,41.47,65.3,156.39,0.0219
Pune,6,GradBoost,B,49322,10569,64,0.3268,44.54,67.47,155.5,0.0214
Pune,24,GradBoost,B,49309,10567,64,0.1857,51.54,74.22,156.29,0.0223
Singrauli,1,GradBoost,B,48653,10427,64,0.6857,40.18,60.44,133.6,0.0247
Singrauli,6,GradBoost,B,48650,10425,64,0.5187,54.42,74.8,133.44,0.0225
Singrauli,24,GradBoost,B,48637,10423,64,0.4446,58.82,80.36,133.96,0.0241
Surat,1,GradBoost,B,18302,3923,58,0.3737,37.84,70.68,46.31,0.0071
Surat,6,GradBoost,B,18298,3922,58,0.224,45.5,78.69,46.1,0.007
Surat,24,GradBoost,B,18286,3919,58,0.1399,50.15,82.86,46.22,0.0068
Thane,1,GradBoost,B,14363,3079,71,0.8498,11.27,18.51,47.91,0.007
Thane,6,GradBoost,B,14360,3078,71,0.6796,18.87,27.03,47.75,0.0067
Thane,24,GradBoost,B,14347,3076,71,0.5743,22.1,31.15,47.77,0.0065
Vapi,1,GradBoost,B,40798,8744,70,0.5239,35.75,52.92,107.84,0.0201
Vapi,6,GradBoost,B,40795,8743,70,0.424,42.58,58.21,107.72,0.0184
Vapi,24,GradBoost,B,40782,8740,70,0.2877,46.69,64.74,107.51,0.0185
bhopal,1,GradBoost,B,30459,6528,72,0.8192,20.61,33.45,87.79,0.0156
bhopal,6,GradBoost,B,30456,6527,72,0.6695,29.55,45.23,87.85,0.0148
bhopal,24,GradBoost,B,30443,6525,72,0.6144,32.25,48.86,87.59,0.0147
vishakhapattanam,1,GradBoost,B,24229,5193,72,0.7719,25.25,40.84,68.01,0.0133
vishakhapattanam,6,GradBoost,B,24225,5192,72,0.6039,34.71,53.83,68.05,0.0121
vishakhapattanam,24,GradBoost,B,24213,5189,72,0.5276,38.94,58.8,67.99,0.0123
Ahmedabad,1,XGBoost,B,19764,4236,70,0.7179,26.98,41.36,4.53,0.0629
Ahmedabad,6,XGBoost,B,19761,4235,70,0.5112,37.54,54.44,4.52,0.0128
Ahmedabad,24,XGBoost,B,19748,4233,70,0.3803,44.8,61.31,4.74,0.0639
Chennai,1,XGBoost,B,30881,6618,71,0.5255,10.84,23.8,4.7,0.0694
Chennai,6,XGBoost,B,30877,6618,71,0.2997,13.83,28.92,4.81,0.0681
Chennai,24,XGBoost,B,30865,6615,71,0.2147,14.81,30.62,4.91,0.0672
Delhi_NCR,1,XGBoost,B,54392,11656,72,0.903,27.04,39.17,5.27,0.0755
Delhi_NCR,6,XGBoost,B,54388,11656,72,0.7947,41.9,56.99,5.21,0.0761
Delhi_NCR,24,XGBoost,B,54376,11652,72,0.7245,48.42,66.03,5.2,0.0769
GandhiNagar,1,XGBoost,B,41041,8796,70,0.6399,15.68,24.91,5.56,0.0212
GandhiNagar,6,XGBoost,B,41038,8795,70,0.4097,21.9,31.89,5.77,0.0207
GandhiNagar,24,XGBoost,B,41025,8792,70,0.3564,22.72,33.3,5.6,0.0706
Hyderabad,1,XGBoost,B,76994,16500,72,0.6351,16.81,22.81,6.11,0.084
Hyderabad,6,XGBoost,B,76990,16499,72,0.4229,22.48,28.67,6.5,0.0338
Hyderabad,24,XGBoost,B,76978,16496,72,0.3662,23.6,30.04,6.02,0.0838
Indore,1,XGBoost,B,30543,6546,72,0.8204,18.39,29.64,5.49,0.0666
Indore,6,XGBoost,B,30540,6545,72,0.6102,27.02,43.67,5.51,0.0676
Indore,24,XGBoost,B,30527,6543,72,0.5323,29.91,47.83,5.4,0.0169
Jaipur,1,XGBoost,B,29624,6349,71,0.5722,27.0,40.22,5.75,0.0168
Jaipur,6,XGBoost,B,29621,6348,71,0.2811,33.05,52.14,5.77,0.0165
Jaipur,24,XGBoost,B,29608,6346,71,-0.0369,43.86,62.62,5.8,0.0168
Jodhpur,1,XGBoost,B,30329,6500,71,0.2664,60.03,77.86,5.16,0.0172
Jodhpur,6,XGBoost,B,30326,6499,71,0.2816,53.87,77.06,5.27,0.0168
Jodhpur,24,XGBoost,B,30313,6497,71,0.1166,68.96,85.47,5.24,0.1832
Mumbai,1,XGBoost,B,38082,8162,72,0.5833,25.33,40.0,5.3,0.0196
Mumbai,6,XGBoost,B,38079,8161,72,0.2646,34.77,53.14,5.42,0.0777
Mumbai,24,XGBoost,B,38066,8158,72,-0.0088,43.41,62.24,5.39,0.0196
Mumbai_suburbs,1,XGBoost,B,15136,3245,71,0.8484,11.87,18.98,4.59,0.0111
Mumbai_suburbs,6,XGBoost,B,15133,3244,71,0.6525,21.17,28.74,4.57,0.0129
Mumbai_suburbs,24,XGBoost,B,15120,3241,71,0.4184,27.78,37.17,4.59,0.011
Nagpur,1,XGBoost,B,56489,12106,70,0.8679,15.57,23.88,6.25,0.0765
Nagpur,6,XGBoost,B,56485,12105,70,0.7075,24.05,35.53,6.66,0.0262
Nagpur,24,XGBoost,B,56473,12102,70,0.6414,27.62,39.35,6.27,0.0263
Pune,1,XGBoost,B,49325,10571,64,0.4534,37.4,60.79,4.9,0.0236
Pune,6,XGBoost,B,49322,10569,64,0.1714,50.92,74.86,5.0,0.0738
Pune,24,XGBoost,B,49309,10567,64,0.2378,48.89,71.8,5.11,0.0736
Singrauli,1,XGBoost,B,48653,10427,64,0.6852,40.37,60.49,5.76,0.0229
Singrauli,6,XGBoost,B,48650,10425,64,0.5109,55.11,75.4,5.63,0.0731
Singrauli,24,XGBoost,B,48637,10423,64,0.4107,60.36,82.77,5.71,0.073
Surat,1,XGBoost,B,18302,3923,58,0.3795,38.09,70.36,3.46,0.0116
Surat,6,XGBoost,B,18298,3922,58,0.178,46.29,80.98,3.38,0.0116
Surat,24,XGBoost,B,18286,3919,58,0.1458,50.35,82.58,3.48,0.0116
Thane,1,XGBoost,B,14363,3079,71,0.8408,11.86,19.06,4.69,0.0611
Thane,6,XGBoost,B,14360,3078,71,0.6349,20.8,28.85,4.8,0.0113
Thane,24,XGBoost,B,14347,3076,71,0.3827,26.85,37.51,4.51,0.061
Vapi,1,XGBoost,B,40798,8744,70,0.531,35.47,52.53,4.82,0.0211
Vapi,6,XGBoost,B,40795,8743,70,0.4345,41.38,57.68,4.78,0.0205
Vapi,24,XGBoost,B,40782,8740,70,0.1885,50.25,69.1,4.81,0.0211
bhopal,1,XGBoost,B,30459,6528,72,0.8204,20.47,33.34,5.48,0.0671
bhopal,6,XGBoost,B,30456,6527,72,0.6688,29.72,45.28,5.39,0.0168
bhopal,24,XGBoost,B,30443,6525,72,0.6095,32.96,49.17,5.4,0.0167
vishakhapattanam,1,XGBoost,B,24229,5193,72,0.7686,25.5,41.14,5.09,0.0149
vishakhapattanam,6,XGBoost,B,24225,5192,72,0.5879,35.06,54.91,5.14,0.0646
vishakhapattanam,24,XGBoost,B,24213,5189,72,0.5111,39.34,59.81,5.28,0.0147
Ahmedabad,1,LSTM,B,19740,4212,70,0.5834,32.52,50.34,66.06,0.8721
Ahmedabad,6,LSTM,B,19737,4211,70,0.5623,35.78,51.6,27.56,0.8376
Ahmedabad,24,LSTM,B,19724,4209,70,0.4929,38.0,55.55,22.92,0.8369
Chennai,1,LSTM,B,30857,6594,71,0.3147,17.8,28.62,62.24,1.1146
Chennai,6,LSTM,B,30853,6594,71,0.2287,16.88,30.37,76.47,1.1203
Chennai,24,LSTM,B,30841,6591,71,0.1019,18.03,32.77,62.51,1.1158
Delhi_NCR,1,LSTM,B,54368,11632,72,0.8575,34.4,47.48,150.91,1.6543
Delhi_NCR,6,LSTM,B,54364,11632,72,0.7771,45.13,59.37,119.97,1.6767
Delhi_NCR,24,LSTM,B,54352,11628,72,0.7181,50.61,66.77,89.01,1.6805
GandhiNagar,1,LSTM,B,41017,8772,70,0.5754,17.9,27.06,150.86,1.364
GandhiNagar,6,LSTM,B,41014,8771,70,0.3597,23.12,33.23,90.44,1.3695
GandhiNagar,24,LSTM,B,41001,8768,70,0.2893,24.78,35.01,67.41,1.1583
Hyderabad,1,LSTM,B,76970,16476,72,0.4126,21.75,28.89,184.57,2.1669
Hyderabad,6,LSTM,B,76966,16475,72,0.309,23.91,31.34,132.91,2.1499
Hyderabad,24,LSTM,B,76954,16472,72,0.1189,26.39,35.39,288.94,2.1525
Indore,1,LSTM,B,30519,6522,72,0.6938,24.43,38.75,93.1,1.1112
Indore,6,LSTM,B,30516,6521,72,0.5628,28.2,46.3,65.53,1.1057
Indore,24,LSTM,B,30503,6519,72,0.4918,31.23,49.93,41.42,1.1185
Jaipur,1,LSTM,B,29600,6325,71,0.4619,28.72,45.18,103.75,1.09
Jaipur,6,LSTM,B,29597,6324,71,0.3033,32.45,51.41,60.12,1.0913
Jaipur,24,LSTM,B,29584,6322,71,0.171,38.03,56.09,52.99,1.1062
Jodhpur,1,LSTM,B,30305,6476,71,-1.6234,104.31,147.34,109.83,1.1583
Jodhpur,6,LSTM,B,30302,6475,71,-3.2363,132.47,187.19,45.57,1.1602
Jodhpur,24,LSTM,B,30289,6473,71,-2.991,148.59,181.57,48.64,1.1671
Mumbai,1,LSTM,B,38058,8138,72,0.5101,25.36,43.42,133.22,1.3716
Mumbai,6,LSTM,B,38055,8137,72,0.3237,29.06,51.02,47.91,1.3302
Mumbai,24,LSTM,B,38042,8134,72,0.1667,33.95,56.65,47.89,1.3245
Mumbai_suburbs,1,LSTM,B,15112,3221,71,0.7201,17.42,25.72,35.4,0.7567
Mumbai_suburbs,6,LSTM,B,15109,3220,71,0.65,19.94,28.76,35.61,0.78
Mumbai_suburbs,24,LSTM,B,15096,3217,71,0.571,23.05,31.83,26.24,0.7646
Nagpur,1,LSTM,B,56465,12082,70,0.796,20.0,29.67,220.7,1.7378
Nagpur,6,LSTM,B,56461,12081,70,0.6899,25.55,36.59,102.47,1.7528
