city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,GradientBoosting,A,19765,4236,32,0.9696,5.23,13.57,29.72,0.0098
Chennai,GradientBoosting,A,30881,6619,33,0.995,1.79,2.44,50.52,0.0124
Delhi_NCR,GradientBoosting,A,54392,11657,34,0.9986,2.57,4.68,61.86,0.0258
GandhiNagar,GradientBoosting,A,41042,8796,32,0.9982,0.96,1.75,71.31,0.0183
Hyderabad,GradientBoosting,A,76995,16500,34,0.969,3.36,6.65,118.25,0.0363
Indore,GradientBoosting,A,30544,6546,32,0.9954,2.58,4.75,43.48,0.0137
Jaipur,GradientBoosting,A,29625,6349,33,0.9743,4.15,9.85,53.31,0.0149
Jodhpur,GradientBoosting,A,30330,6500,33,0.9987,1.6,3.24,52.19,0.0194
Mumbai,GradientBoosting,A,38083,8162,33,0.986,4.31,7.34,64.08,0.0149
Mumbai_suburbs,GradientBoosting,A,15137,3245,33,0.9938,1.45,3.83,26.18,0.0069
Nagpur,GradientBoosting,A,56490,12105,32,0.9959,2.59,4.19,98.55,0.026
Pune,GradientBoosting,A,49326,10571,32,0.9864,5.87,9.6,76.48,0.0201
Singrauli,GradientBoosting,A,48654,10427,22,0.9981,2.49,4.65,42.3,0.0245
Surat,GradientBoosting,A,18302,3923,30,0.9962,3.51,5.5,26.12,0.0093
Thane,GradientBoosting,A,14364,3079,33,0.9973,1.23,2.47,24.71,0.0066
Vapi,GradientBoosting,A,40799,8744,31,0.9899,5.22,7.7,53.75,0.0182
bhopal,GradientBoosting,A,30460,6528,32,0.9915,2.39,7.24,42.88,0.0146
vishakhapattanam,GradientBoosting,A,24229,5193,34,0.9974,1.71,4.34,36.65,0.0121
