city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,RandomForest,A,19765,4236,32,0.9227,8.23,21.65,47.33,0.1189
Chennai,RandomForest,A,30881,6619,33,0.9997,0.17,0.58,108.34,0.1279
Delhi_NCR,RandomForest,A,54392,11657,34,0.9993,0.44,3.25,121.07,0.2956
GandhiNagar,RandomForest,A,41042,8796,32,0.9983,0.34,1.73,143.81,0.1981
Hyderabad,RandomForest,A,76995,16500,34,0.9634,1.26,7.22,227.34,0.3184
Indore,RandomForest,A,30544,6546,32,0.9962,0.96,4.31,84.69,0.1467
Jaipur,RandomForest,A,29625,6349,33,0.9575,2.91,12.67,94.01,0.1217
Jodhpur,RandomForest,A,30330,6500,33,0.9984,0.53,3.59,84.42,0.1781
Mumbai,RandomForest,A,38083,8162,33,0.9855,2.91,7.46,115.86,0.158
Mumbai_suburbs,RandomForest,A,15137,3245,33,0.9952,0.62,3.38,41.09,0.0846
Nagpur,RandomForest,A,56490,12105,32,0.9981,0.33,2.83,194.35,0.3384
Pune,RandomForest,A,49326,10571,32,0.9929,2.36,6.93,140.72,0.148
Singrauli,RandomForest,A,48654,10427,22,0.9992,0.59,3.08,77.53,0.2069
Surat,RandomForest,A,18302,3923,30,0.9938,1.98,7.03,39.97,0.0746
Thane,RandomForest,A,14364,3079,33,0.9971,0.58,2.56,40.24,0.1395
Vapi,RandomForest,A,40799,8744,31,0.9942,2.38,5.84,98.38,0.1892
bhopal,RandomForest,A,30460,6528,32,0.9849,1.95,9.68,76.26,0.1302
vishakhapattanam,RandomForest,A,24229,5193,34,0.9965,1.03,5.07,65.18,0.119
