city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,Ridge,A,19765,4236,32,0.7107,31.3,41.88,0.04,0.0005
Chennai,Ridge,A,30881,6619,33,0.734,14.58,17.82,0.01,0.0004
Delhi_NCR,Ridge,A,54392,11657,34,0.8938,28.83,41.0,0.01,0.0006
GandhiNagar,Ridge,A,41042,8796,32,0.9244,6.84,11.41,0.01,0.0005
Hyderabad,Ridge,A,76995,16500,34,0.7341,14.93,19.47,0.01,0.0006
Indore,Ridge,A,30544,6546,32,0.8603,14.46,26.15,0.0,0.0004
Jaipur,Ridge,A,29625,6349,33,0.8121,18.37,26.66,0.0,0.0003
Jodhpur,Ridge,A,30330,6500,33,0.866,22.16,33.28,0.01,0.0004
Mumbai,Ridge,A,38083,8162,33,0.7887,19.22,28.48,0.01,0.0005
Mumbai_suburbs,Ridge,A,15137,3245,33,0.8879,10.92,16.33,0.0,0.0003
Nagpur,Ridge,A,56490,12105,32,0.9132,13.44,19.36,0.01,0.0006
Pune,Ridge,A,49326,10571,32,0.6253,25.42,50.33,0.01,0.0005
Singrauli,Ridge,A,48654,10427,22,0.8704,27.83,38.82,0.01,0.0004
Surat,Ridge,A,18302,3923,30,0.8256,20.21,37.3,0.0,0.0003
Thane,Ridge,A,14364,3079,33,0.8798,11.1,16.55,0.0,0.0003
Vapi,Ridge,A,40799,8744,31,0.8303,24.48,31.59,0.01,0.0005
bhopal,Ridge,A,30460,6528,32,0.8416,20.06,31.31,0.0,0.0004
vishakhapattanam,Ridge,A,24229,5193,34,0.9492,12.31,19.27,0.0,0.0003
