city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,XGBoost,A,19765,4236,32,0.9571,7.06,16.13,1.56,0.0045
Chennai,XGBoost,A,30881,6619,33,0.9824,1.74,4.58,1.86,0.014
Delhi_NCR,XGBoost,A,54392,11657,34,0.9989,1.9,4.16,2.73,0.0168
GandhiNagar,XGBoost,A,41042,8796,32,0.9758,1.45,6.46,2.13,0.0071
Hyderabad,XGBoost,A,76995,16500,34,0.9581,2.96,7.72,3.74,0.0204
Indore,XGBoost,A,30544,6546,32,0.9964,2.04,4.2,1.99,0.0056
Jaipur,XGBoost,A,29625,6349,33,0.9662,3.39,11.3,2.06,0.0054
Jodhpur,XGBoost,A,30330,6500,33,0.9985,1.48,3.57,2.1,0.0054
Mumbai,XGBoost,A,38083,8162,33,0.9866,4.25,7.17,2.26,0.0069
Mumbai_suburbs,XGBoost,A,15137,3245,33,0.9955,1.23,3.27,1.46,0.0043
Nagpur,XGBoost,A,56490,12105,32,0.9969,1.67,3.68,2.82,0.0177
Pune,XGBoost,A,49326,10571,32,0.9777,5.96,12.29,2.97,0.0081
Singrauli,XGBoost,A,48654,10427,22,0.9986,1.87,3.98,2.01,0.0162
Surat,XGBoost,A,18302,3923,30,0.9954,2.92,6.04,1.53,0.0122
Thane,XGBoost,A,14364,3079,33,0.9952,1.23,3.3,1.43,0.0033
Vapi,XGBoost,A,40799,8744,31,0.994,3.87,5.92,2.15,0.0152
bhopal,XGBoost,A,30460,6528,32,0.9729,3.82,12.96,1.92,0.0139
vishakhapattanam,XGBoost,A,24229,5193,34,0.995,2.11,6.04,1.75,0.0046
