city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,1,BiLSTM,B,19740,4212,70,0.6166,32.15,48.29,107.9,1.744
Ahmedabad,6,BiLSTM,B,19737,4211,70,0.57,35.31,51.14,75.0,1.706
Ahmedabad,24,BiLSTM,B,19724,4209,70,0.5272,36.36,53.64,84.9,1.66
Chennai,1,BiLSTM,B,30857,6594,71,0.2927,17.93,29.08,178.0,2.177
Chennai,6,BiLSTM,B,30853,6594,71,0.1571,19.46,31.75,147.0,2.214
Chennai,24,BiLSTM,B,30841,6591,71,0.0691,18.4,33.37,133.6,2.107
Delhi_NCR,1,BiLSTM,B,54368,11632,72,0.8601,33.95,47.03,332.6,3.03
Delhi_NCR,6,BiLSTM,B,54364,11632,72,0.7683,45.53,60.54,234.2,2.998
Delhi_NCR,24,BiLSTM,B,54352,11628,72,0.7066,49.09,68.12,144.9,3.146
GandhiNagar,1,BiLSTM,B,41017,8772,70,0.5622,18.04,27.47,325.3,2.578
GandhiNagar,6,BiLSTM,B,41014,8771,70,0.3764,22.78,32.79,218.3,2.58
GandhiNagar,24,BiLSTM,B,41001,8768,70,0.3241,24.2,34.14,140.8,2.158
Hyderabad,1,BiLSTM,B,76970,16476,72,0.4777,20.41,27.24,516.5,4.255
Hyderabad,6,BiLSTM,B,76966,16475,72,0.4029,22.5,29.13,240.7,4.175
Hyderabad,24,BiLSTM,B,76954,16472,72,0.3097,24.71,31.32,325.4,4.032
Indore,1,BiLSTM,B,30519,6522,72,0.7021,23.76,38.22,181.1,2.132
Indore,6,BiLSTM,B,30516,6521,72,0.5263,29.72,48.2,99.4,2.169
Indore,24,BiLSTM,B,30503,6519,72,0.4956,31.55,49.74,108.0,2.09
Jaipur,1,BiLSTM,B,29600,6325,71,0.486,28.43,44.16,180.7,2.078
Jaipur,6,BiLSTM,B,29597,6324,71,0.2968,33.13,51.65,181.6,2.039
Jaipur,24,BiLSTM,B,29584,6322,71,0.1669,37.96,56.23,131.9,2.164
Jodhpur,1,BiLSTM,B,30305,6476,71,-3.1787,144.17,185.95,211.5,2.172
Jodhpur,6,BiLSTM,B,30302,6475,71,-1.9181,119.98,155.36,106.2,2.183
Jodhpur,24,BiLSTM,B,30289,6473,71,-2.7018,126.06,174.87,117.6,2.088
Mumbai,1,BiLSTM,B,38058,8138,72,0.509,24.06,43.47,225.2,2.449
Mumbai,6,BiLSTM,B,38055,8137,72,0.3005,30.37,51.89,152.1,2.476
Mumbai,24,BiLSTM,B,38042,8134,72,0.2044,32.59,55.35,130.3,2.398
Mumbai_suburbs,1,BiLSTM,B,15112,3221,71,0.7315,16.95,25.2,96.3,1.481
Mumbai_suburbs,6,BiLSTM,B,15109,3220,71,0.6478,20.32,28.85,67.1,1.507
Mumbai_suburbs,24,BiLSTM,B,15096,3217,71,0.5059,25.04,34.16,72.7,1.548
Nagpur,1,BiLSTM,B,56465,12082,70,0.7859,20.13,30.4,387.5,3.126
Nagpur,6,BiLSTM,B,56461,12081,70,0.6868,25.59,36.77,210.4,3.157
Nagpur,24,BiLSTM,B,56449,12078,70,0.6232,28.62,40.33,220.8,3.296
Pune,1,BiLSTM,B,49301,10547,64,-0.076,60.88,85.31,452.7,2.892
Pune,6,BiLSTM,B,49298,10545,64,-0.0652,60.67,84.89,259.6,2.86
Pune,24,BiLSTM,B,49285,10543,64,-0.201,65.09,90.14,302.3,2.857
Singrauli,1,BiLSTM,B,48629,10403,64,0.5996,46.19,68.21,363.5,2.824
Singrauli,6,BiLSTM,B,48626,10401,64,0.466,56.4,78.78,238.6,2.869
Singrauli,24,BiLSTM,B,48613,10399,64,0.4024,61.07,83.34,205.9,2.83
Surat,1,BiLSTM,B,18278,3899,58,0.2884,40.08,75.45,248.2,1.617
Surat,6,BiLSTM,B,18274,3898,58,0.2258,44.78,78.7,121.4,1.601
Surat,24,BiLSTM,B,18262,3895,58,0.1344,58.73,83.16,70.7,1.566
Thane,1,BiLSTM,B,14339,3055,71,0.6722,19.06,27.35,50.0,1.43
Thane,6,BiLSTM,B,14336,3054,71,0.6193,20.87,29.48,107.3,1.447
Thane,24,BiLSTM,B,14323,3052,71,0.5298,23.71,32.75,89.4,1.501
Vapi,1,BiLSTM,B,40774,8720,70,0.4508,39.86,56.74,262.7,2.522
Vapi,6,BiLSTM,B,40771,8719,70,0.3889,43.16,59.86,172.2,2.529
Vapi,24,BiLSTM,B,40758,8716,70,0.2086,50.57,68.12,150.4,2.501
bhopal,1,BiLSTM,B,30435,6504,72,0.7051,28.37,42.75,125.4,2.176
bhopal,6,BiLSTM,B,30432,6503,72,0.6242,31.65,48.26,126.2,2.109
bhopal,24,BiLSTM,B,30419,6501,72,0.5938,35.19,50.16,116.7,2.199
vishakhapattanam,1,BiLSTM,B,24205,5169,72,0.6975,29.52,47.13,143.6,1.947
vishakhapattanam,6,BiLSTM,B,24201,5168,72,0.6183,35.33,52.95,89.2,1.904
vishakhapattanam,24,BiLSTM,B,24189,5165,72,0.5153,39.48,59.68,85.8,1.832
