city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,1,RandomForest,B,19764,4236,70,0.7185,27.67,41.31,61.55,0.0643
Ahmedabad,1,GradientBoosting,B,19764,4236,70,0.7406,26.5,39.66,78.77,0.0096
Ahmedabad,1,XGBoost,B,19764,4236,70,0.7179,26.98,41.36,2.27,0.0089
Ahmedabad,6,RandomForest,B,19761,4235,70,0.4152,44.29,59.55,60.44,0.0644
Ahmedabad,6,GradientBoosting,B,19761,4235,70,0.5179,35.51,54.07,79.05,0.0089
Ahmedabad,6,XGBoost,B,19761,4235,70,0.5112,37.54,54.44,2.25,0.0089
Ahmedabad,24,RandomForest,B,19748,4233,70,0.3657,46.64,62.03,61.85,0.0547
Ahmedabad,24,GradientBoosting,B,19748,4233,70,0.4893,39.69,55.66,78.78,0.0093
Ahmedabad,24,XGBoost,B,19748,4233,70,0.3803,44.8,61.31,2.22,0.0087
Chennai,1,RandomForest,B,30881,6618,71,0.6124,10.23,21.51,143.43,0.0746
Chennai,1,GradientBoosting,B,30881,6618,71,0.3226,13.77,28.44,131.24,0.0133
Chennai,1,XGBoost,B,30881,6618,71,0.5255,10.84,23.8,2.3,0.0125
Chennai,6,RandomForest,B,30877,6618,71,0.2938,15.34,29.04,136.27,0.0743
Chennai,6,GradientBoosting,B,30877,6618,71,0.3295,14.68,28.3,131.21,0.0139
Chennai,6,XGBoost,B,30877,6618,71,0.2997,13.83,28.92,2.37,0.0126
Chennai,24,RandomForest,B,30865,6615,71,0.1291,15.97,32.25,148.31,0.0738
Chennai,24,GradientBoosting,B,30865,6615,71,0.1375,16.34,32.09,130.77,0.0134
Chennai,24,XGBoost,B,30865,6615,71,0.2147,14.81,30.62,2.34,0.0126
Delhi_NCR,1,RandomForest,B,54392,11656,72,0.9008,27.34,39.62,158.66,0.1754
Delhi_NCR,1,GradientBoosting,B,54392,11656,72,0.9019,27.23,39.39,185.22,0.0262
Delhi_NCR,1,XGBoost,B,54392,11656,72,0.903,27.04,39.17,2.65,0.0212
Delhi_NCR,6,RandomForest,B,54388,11656,72,0.7823,43.62,58.68,148.45,0.1455
