city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,1,GradientBoosting,B,19764,4236,70,0.7398,26.07,39.72,62.23,0.0097
Ahmedabad,6,GradientBoosting,B,19761,4235,70,0.5268,35.39,53.57,62.39,0.009
Ahmedabad,24,GradientBoosting,B,19748,4233,70,0.4966,39.52,55.26,62.09,0.0094
Chennai,1,GradientBoosting,B,30881,6618,71,0.5129,12.89,24.12,104.0,0.0136
Chennai,6,GradientBoosting,B,30877,6618,71,0.3592,14.05,27.66,103.76,0.0133
Chennai,24,GradientBoosting,B,30865,6615,71,0.1365,16.0,32.11,103.4,0.0135
Delhi_NCR,1,GradientBoosting,B,54392,11656,72,0.9024,27.13,39.29,146.26,0.0264
Delhi_NCR,6,GradientBoosting,B,54388,11656,72,0.7957,41.59,56.86,145.22,0.025
Delhi_NCR,24,GradientBoosting,B,54376,11652,72,0.7287,47.74,65.52,146.01,0.0254
GandhiNagar,1,GradientBoosting,B,41041,8796,70,0.6524,15.63,24.47,143.35,0.0199
GandhiNagar,6,GradientBoosting,B,41038,8795,70,0.413,21.96,31.8,142.58,0.0193
GandhiNagar,24,GradientBoosting,B,41025,8792,70,0.363,22.61,33.13,143.29,0.0191
Hyderabad,1,GradientBoosting,B,76994,16500,72,0.6411,16.52,22.62,205.77,0.0367
Hyderabad,6,GradientBoosting,B,76990,16499,72,0.4615,21.39,27.7,206.28,0.0344
Hyderabad,24,GradientBoosting,B,76978,16496,72,0.4068,22.77,29.06,205.88,0.0353
Indore,1,GradientBoosting,B,30543,6546,72,0.8229,18.37,29.43,87.38,0.0161
Indore,6,GradientBoosting,B,30540,6545,72,0.5941,27.8,44.56,87.4,0.015
Indore,24,GradientBoosting,B,30527,6543,72,0.5094,30.6,48.99,87.68,0.0155
Jaipur,1,GradientBoosting,B,29624,6349,71,0.5538,28.3,41.07,107.75,0.0153
Jaipur,6,GradientBoosting,B,29621,6348,71,0.3134,31.52,50.95,107.51,0.0147
Jaipur,24,GradientBoosting,B,29608,6346,71,0.0302,41.9,60.57,107.48,0.0149
Jodhpur,1,GradientBoosting,B,30329,6500,71,0.3763,54.07,71.79,96.69,0.0172
Jodhpur,6,GradientBoosting,B,30326,6499,71,0.2716,56.63,77.59,97.13,0.0154
Jodhpur,24,GradientBoosting,B,30313,6497,71,0.1266,67.86,84.98,96.88,0.0165
Mumbai,1,GradientBoosting,B,38082,8162,72,0.5014,26.42,43.75,134.02,0.0173
Mumbai,6,GradientBoosting,B,38079,8161,72,0.2481,33.97,53.73,134.22,0.017
Mumbai,24,GradientBoosting,B,38066,8158,72,-0.3156,48.78,71.08,135.18,0.0169
Mumbai_suburbs,1,GradientBoosting,B,15136,3245,71,0.838,12.28,19.62,50.14,0.0073
Mumbai_suburbs,6,GradientBoosting,B,15133,3244,71,0.6535,21.17,28.69,50.05,0.0068
Mumbai_suburbs,24,GradientBoosting,B,15120,3241,71,0.5024,26.13,34.38,50.51,0.0068
Nagpur,1,GradientBoosting,B,56489,12106,70,0.8635,16.23,24.28,202.99,0.0274
Nagpur,6,GradientBoosting,B,56485,12105,70,0.6988,24.86,36.06,202.82,0.0269
Nagpur,24,GradientBoosting,B,56473,12102,70,0.6451,27.71,39.14,202.47,0.0266
Pune,1,GradientBoosting,B,49325,10571,64,0.3695,41.47,65.3,156.39,0.0219
Pune,6,GradientBoosting,B,49322,10569,64,0.3268,44.54,67.47,155.5,0.0214
Pune,24,GradientBoosting,B,49309,10567,64,0.1857,51.54,74.22,156.29,0.0223
Singrauli,1,GradientBoosting,B,48653,10427,64,0.6857,40.18,60.44,133.6,0.0247
Singrauli,6,GradientBoosting,B,48650,10425,64,0.5187,54.42,74.8,133.44,0.0225
Singrauli,24,GradientBoosting,B,48637,10423,64,0.4446,58.82,80.36,133.96,0.0241
Surat,1,GradientBoosting,B,18302,3923,58,0.3737,37.84,70.68,46.31,0.0071
Surat,6,GradientBoosting,B,18298,3922,58,0.224,45.5,78.69,46.1,0.007
Surat,24,GradientBoosting,B,18286,3919,58,0.1399,50.15,82.86,46.22,0.0068
Thane,1,GradientBoosting,B,14363,3079,71,0.8498,11.27,18.51,47.91,0.007
Thane,6,GradientBoosting,B,14360,3078,71,0.6796,18.87,27.03,47.75,0.0067
Thane,24,GradientBoosting,B,14347,3076,71,0.5743,22.1,31.15,47.77,0.0065
Vapi,1,GradientBoosting,B,40798,8744,70,0.5239,35.75,52.92,107.84,0.0201
Vapi,6,GradientBoosting,B,40795,8743,70,0.424,42.58,58.21,107.72,0.0184
Vapi,24,GradientBoosting,B,40782,8740,70,0.2877,46.69,64.74,107.51,0.0185
bhopal,1,GradientBoosting,B,30459,6528,72,0.8192,20.61,33.45,87.79,0.0156
bhopal,6,GradientBoosting,B,30456,6527,72,0.6695,29.55,45.23,87.85,0.0148
bhopal,24,GradientBoosting,B,30443,6525,72,0.6144,32.25,48.86,87.59,0.0147
vishakhapattanam,1,GradientBoosting,B,24229,5193,72,0.7719,25.25,40.84,68.01,0.0133
vishakhapattanam,6,GradientBoosting,B,24225,5192,72,0.6039,34.71,53.83,68.05,0.0121
vishakhapattanam,24,GradientBoosting,B,24213,5189,72,0.5276,38.94,58.8,67.99,0.0123
