city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,1,LSTM,B,19740,4212,70,0.5834,32.52,50.34,66.06,0.8721
Ahmedabad,6,LSTM,B,19737,4211,70,0.5623,35.78,51.6,27.56,0.8376
Ahmedabad,24,LSTM,B,19724,4209,70,0.4929,38.0,55.55,22.92,0.8369
Chennai,1,LSTM,B,30857,6594,71,0.3147,17.8,28.62,62.24,1.1146
Chennai,6,LSTM,B,30853,6594,71,0.2287,16.88,30.37,76.47,1.1203
Chennai,24,LSTM,B,30841,6591,71,0.1019,18.03,32.77,62.51,1.1158
Delhi_NCR,1,LSTM,B,54368,11632,72,0.8575,34.4,47.48,150.91,1.6543
Delhi_NCR,6,LSTM,B,54364,11632,72,0.7771,45.13,59.37,119.97,1.6767
Delhi_NCR,24,LSTM,B,54352,11628,72,0.7181,50.61,66.77,89.01,1.6805
GandhiNagar,1,LSTM,B,41017,8772,70,0.5754,17.9,27.06,150.86,1.364
GandhiNagar,6,LSTM,B,41014,8771,70,0.3597,23.12,33.23,90.44,1.3695
GandhiNagar,24,LSTM,B,41001,8768,70,0.2893,24.78,35.01,67.41,1.1583
Hyderabad,1,LSTM,B,76970,16476,72,0.4126,21.75,28.89,184.57,2.1669
Hyderabad,6,LSTM,B,76966,16475,72,0.309,23.91,31.34,132.91,2.1499
Hyderabad,24,LSTM,B,76954,16472,72,0.1189,26.39,35.39,288.94,2.1525
Indore,1,LSTM,B,30519,6522,72,0.6938,24.43,38.75,93.1,1.1112
Indore,6,LSTM,B,30516,6521,72,0.5628,28.2,46.3,65.53,1.1057
Indore,24,LSTM,B,30503,6519,72,0.4918,31.23,49.93,41.42,1.1185
Jaipur,1,LSTM,B,29600,6325,71,0.4619,28.72,45.18,103.75,1.09
Jaipur,6,LSTM,B,29597,6324,71,0.3033,32.45,51.41,60.12,1.0913
Jaipur,24,LSTM,B,29584,6322,71,0.171,38.03,56.09,52.99,1.1062
Jodhpur,1,LSTM,B,30305,6476,71,-1.6234,104.31,147.34,109.83,1.1583
Jodhpur,6,LSTM,B,30302,6475,71,-3.2363,132.47,187.19,45.57,1.1602
Jodhpur,24,LSTM,B,30289,6473,71,-2.991,148.59,181.57,48.64,1.1671
Mumbai,1,LSTM,B,38058,8138,72,0.5101,25.36,43.42,133.22,1.3716
Mumbai,6,LSTM,B,38055,8137,72,0.3237,29.06,51.02,47.91,1.3302
Mumbai,24,LSTM,B,38042,8134,72,0.1667,33.95,56.65,47.89,1.3245
Mumbai_suburbs,1,LSTM,B,15112,3221,71,0.7201,17.42,25.72,35.4,0.7567
Mumbai_suburbs,6,LSTM,B,15109,3220,71,0.65,19.94,28.76,35.61,0.78
Mumbai_suburbs,24,LSTM,B,15096,3217,71,0.571,23.05,31.83,26.24,0.7646
Nagpur,1,LSTM,B,56465,12082,70,0.796,20.0,29.67,220.7,1.7378
Nagpur,6,LSTM,B,56461,12081,70,0.6899,25.55,36.59,102.47,1.7528
Nagpur,24,LSTM,B,56449,12078,70,0.5953,29.83,41.79,69.35,1.7576
Pune,1,LSTM,B,49301,10547,64,0.0031,55.38,82.11,54.5,1.569
Pune,6,LSTM,B,49298,10545,64,-0.2515,70.67,92.01,54.74,1.5616
Pune,24,LSTM,B,49285,10543,64,0.0078,55.42,81.94,157.57,1.5824
Singrauli,1,LSTM,B,48629,10403,64,0.5853,47.1,69.42,154.68,1.5713
Singrauli,6,LSTM,B,48626,10401,64,0.4402,57.77,80.65,98.82,1.5726
Singrauli,24,LSTM,B,48613,10399,64,0.4121,58.95,82.67,98.74,1.5672
Surat,1,LSTM,B,18278,3899,58,0.3205,42.18,73.73,41.66,0.8478
Surat,6,LSTM,B,18274,3898,58,0.2255,45.79,78.72,48.15,0.8631
Surat,24,LSTM,B,18262,3895,58,0.1871,55.54,80.59,35.27,0.838
Thane,1,LSTM,B,14339,3055,71,0.692,18.38,26.51,31.99,0.744
Thane,6,LSTM,B,14336,3054,71,0.6252,19.97,29.24,21.27,0.7261
Thane,24,LSTM,B,14323,3052,71,0.4788,25.69,34.48,17.59,0.7304
Vapi,1,LSTM,B,40774,8720,70,0.4518,39.92,56.69,91.01,1.352
Vapi,6,LSTM,B,40771,8719,70,0.3742,44.01,60.57,54.57,1.3837
Vapi,24,LSTM,B,40758,8716,70,0.1747,51.79,69.57,64.08,1.3727
bhopal,1,LSTM,B,30435,6504,72,0.6789,28.63,44.61,62.56,1.1594
bhopal,6,LSTM,B,30432,6503,72,0.6328,31.25,47.71,62.74,1.1333
bhopal,24,LSTM,B,30419,6501,72,0.5799,35.65,51.01,37.44,1.1296
vishakhapattanam,1,LSTM,B,24205,5169,72,0.6868,30.04,47.96,72.29,0.9862
vishakhapattanam,6,LSTM,B,24201,5168,72,0.5926,35.89,54.7,44.37,0.9868
vishakhapattanam,24,LSTM,B,24189,5165,72,0.4916,40.36,61.12,35.94,0.9695
