city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Ahmedabad,1,RandomForest,B,19764,4236,70,0.7501,26.27,38.92,23.23,0.0434
Ahmedabad,6,RandomForest,B,19761,4235,70,0.4759,41.69,56.38,22.96,0.0429
Ahmedabad,24,RandomForest,B,19748,4233,70,0.4438,44.87,58.08,24.31,0.0428
Chennai,1,RandomForest,B,30881,6618,71,0.6518,9.6,20.39,52.42,0.0633
Chennai,6,RandomForest,B,30877,6618,71,0.2635,15.89,29.65,50.62,0.0532
Chennai,24,RandomForest,B,30865,6615,71,0.1617,15.74,31.64,53.54,0.0633
Delhi_NCR,1,RandomForest,B,54392,11656,72,0.9024,27.23,39.3,59.0,0.1441
Delhi_NCR,6,RandomForest,B,54388,11656,72,0.7873,43.1,58.01,57.24,0.1137
Delhi_NCR,24,RandomForest,B,54376,11652,72,0.7146,50.51,67.2,57.3,0.1138
GandhiNagar,1,RandomForest,B,41041,8796,70,0.6409,16.1,24.87,58.25,0.1037
GandhiNagar,6,RandomForest,B,41038,8795,70,0.3845,22.65,32.57,54.57,0.0937
GandhiNagar,24,RandomForest,B,41025,8792,70,0.3695,22.8,32.96,54.87,0.094
Hyderabad,1,RandomForest,B,76994,16500,72,0.6436,16.79,22.54,91.31,0.144
Hyderabad,6,RandomForest,B,76990,16499,72,0.4418,22.33,28.2,86.89,0.1238
Hyderabad,24,RandomForest,B,76978,16496,72,0.3358,24.48,30.75,94.86,0.1345
Indore,1,RandomForest,B,30543,6546,72,0.8125,18.73,30.28,33.08,0.0742
Indore,6,RandomForest,B,30540,6545,72,0.5896,28.32,44.81,32.22,0.0632
Indore,24,RandomForest,B,30527,6543,72,0.5165,31.71,48.63,33.99,0.0735
Jaipur,1,RandomForest,B,29624,6349,71,0.5049,31.27,43.26,36.92,0.0634
Jaipur,6,RandomForest,B,29621,6348,71,0.3053,33.68,51.25,34.95,0.0633
Jaipur,24,RandomForest,B,29608,6346,71,0.0921,42.79,58.6,35.39,0.0544
Jodhpur,1,RandomForest,B,30329,6500,71,0.4586,48.87,66.89,32.79,0.0737
Jodhpur,6,RandomForest,B,30326,6499,71,0.2576,58.38,78.34,33.53,0.0631
Jodhpur,24,RandomForest,B,30313,6497,71,0.2326,60.76,79.66,32.95,0.0631
Mumbai,1,RandomForest,B,38082,8162,72,0.5968,25.2,39.34,52.4,0.0733
Mumbai,6,RandomForest,B,38079,8161,72,0.1911,38.38,55.73,52.45,0.0635
Mumbai,24,RandomForest,B,38066,8158,72,-0.386,54.85,72.96,51.1,0.0632
Mumbai_suburbs,1,RandomForest,B,15136,3245,71,0.8402,12.56,19.49,17.8,0.0431
Mumbai_suburbs,6,RandomForest,B,15133,3244,71,0.6754,20.63,27.77,17.09,0.0428
Mumbai_suburbs,24,RandomForest,B,15120,3241,71,0.5427,24.46,32.96,18.01,0.0431
Nagpur,1,RandomForest,B,56489,12106,70,0.8624,16.41,24.38,77.58,0.1239
Nagpur,6,RandomForest,B,56485,12105,70,0.6864,26.09,36.8,74.49,0.1141
Nagpur,24,RandomForest,B,56473,12102,70,0.6169,29.4,40.67,78.72,0.1137
Pune,1,RandomForest,B,49325,10571,64,0.4158,43.39,62.85,64.85,0.0633
Pune,6,RandomForest,B,49322,10569,64,0.2203,52.91,72.62,64.0,0.0633
Pune,24,RandomForest,B,49309,10567,64,0.0378,62.35,80.67,67.45,0.063
Singrauli,1,RandomForest,B,48653,10427,64,0.6777,42.29,61.21,50.85,0.1137
Singrauli,6,RandomForest,B,48650,10425,64,0.4803,59.12,77.73,51.47,0.0939
Singrauli,24,RandomForest,B,48637,10423,64,0.4105,62.69,82.79,54.99,0.1035
Surat,1,RandomForest,B,18302,3923,58,0.3555,41.21,71.71,17.95,0.0433
Surat,6,RandomForest,B,18298,3922,58,0.157,53.12,82.01,17.81,0.0427
Surat,24,RandomForest,B,18286,3919,58,0.1321,56.54,83.24,18.08,0.0435
Thane,1,RandomForest,B,14363,3079,71,0.8512,11.32,18.42,15.47,0.0429
Thane,6,RandomForest,B,14360,3078,71,0.6603,19.67,27.83,15.37,0.043
Thane,24,RandomForest,B,14347,3076,71,0.5329,23.35,32.63,16.39,0.043
Vapi,1,RandomForest,B,40798,8744,70,0.5235,36.71,52.95,43.34,0.0732
Vapi,6,RandomForest,B,40795,8743,70,0.4124,43.38,58.8,42.83,0.0631
Vapi,24,RandomForest,B,40782,8740,70,0.3409,45.94,62.27,43.32,0.0635
bhopal,1,RandomForest,B,30459,6528,72,0.8162,21.39,33.72,34.73,0.0737
bhopal,6,RandomForest,B,30456,6527,72,0.6561,31.19,46.14,33.8,0.0632
bhopal,24,RandomForest,B,30443,6525,72,0.6216,33.43,48.4,34.32,0.0634
vishakhapattanam,1,RandomForest,B,24229,5193,72,0.7712,25.65,40.9,26.42,0.063
vishakhapattanam,6,RandomForest,B,24225,5192,72,0.5837,36.09,55.18,27.36,0.0536
vishakhapattanam,24,RandomForest,B,24213,5189,72,0.5179,40.19,59.4,29.27,0.0631
